,Subject,Response.Type,Strata
32,1036,RESPONSE,Repeating the list over in my head as each new tone was added. Visualizing the tones on a line graph with three different pointsUPARROWLEFTARROW. Listening for ascending and descending patterns. Singing the tones back inside of my head. 
33,1037,NO RESPONSE,
34,1038,RESPONSE,i would hold one finger up for low 2 fingers for medium and 3 for high and try to remeber the sequence  
35,1039,RESPONSE,"establish fingers for each H,L,M sound and try to remember order in which i pressed them down on the table "
36,1042,RESPONSE,"After hearing the noise, I kept saying QUOTElow medium or highQUOTE in the correct order over and over in my head while completing the math problems "
37,1043,RESPONSE,I attempted to repeat the order of the tones back to myself before solving each math problem 
38,1044,RESPONSE,Repeating the sequence of sounds for every screen adding in the next sound heard while solving the problems. 
39,1045,NO RESPONSE,
40,1046,RESPONSE,"If the tones went in order (low,medium,high or high,medium,low)w) or if there was any patterns (low,medium,low) "
41,1047,RESPONSE,"Tapping fingers, replaying the sounds in my head "
42,1048,RESPONSE,"I tried saying QUOTEQUOTEhigh or low after hearing the tone, then repeating each in my head after the math problems. For example, after the third problem in a sequence i'd try saying high, medium, high.  "
43,1049,RESPONSE,memorizing the letter of the tones 
44,1050,RESPONSE,I sang along to them in my head at first and would repeat them so that they stacked on top of each other in the right order. If it was a long set I would invision the HLM scale and try to remember in what order they would go in )(like completing a path)) 
45,1051,RESPONSE,"For each equation, I would try to remeber whether it was high or low or middle andkeep repeating it to myself til the end "
46,1052,RESPONSE,"I would say the tone (low, medium, or high)) in my head, and tap my fingers according to the tone "
47,1300,RESPONSE,assigning tones to my fingers and memorizing the tapping patterns 
48,1301,RESPONSE,"I repeated the names of the tones (hs - high, low, medium - and strung them together as I completed the math exercises. The names of the tones were easier to remember than singing them back in my head, for example. That was a strategy I used first, but since the tones don't make tonal sense, and are so disjunct (in space and time), I made less mistake "
49,1302,NO RESPONSE,
50,1303,RESPONSE,"I used three fingers after each math problem and if the tone was high,medium,or low i would place my fingers according to the tone. So if my first tone is high, my first finger will be the place at the highest part on the table, then if my second tone is low, my second finger will be the lowest height. For the repeat tones, i would tap my fingers "
51,1304,RESPONSE,I used the fingers on my left hand as if i was playing three different notes on a piano to help remember the patterns and tones. 
52,1305,RESPONSE,"Don't think about the math problems. Just forget the math as soon as you're done with the problem. I like to move my finger and point to the left, middle, or right depending on the tone and keep repeating the pattern everytime a new tone is added. "
53,500,NO RESPONSE,
54,501,NO RESPONSE,
55,502,EMAILED , I would replay the tone pattern in my head over and over again. That made it a lot easier.
56,503,NO RESPONSE,
57,504,NO RESPONSE,
58,505,NO RESPONSE,
59,506,NO RESPONSE,
60,507,EMAILED ," I remember I would memorize the tones in a make-shift """"melodic"""" sense, like I would sing it to myself without humming or making any audible sound, essentially just emulating the tones in my mind. I would then use the created melody in my head to determine which tones of HML came at which points in time. I would also move my head in a motion correlating to the pitch of the tone (up/right for H, middle for M, down/left for L) in order to also make use of muscle memory for better memorization/regurgitation of the ex"
61,508,NO RESPONSE,
62,509,NO RESPONSE,
63,510,EMAILED ," During this portion of theexperiment I mainly used one strategy. I assigned each tone (H,M,L) a finger on my left hand (index, middle, ring) and tapped out the pattern of tones I recognized with each corresponding finger. I was able to complete the math problems while still remembering and adding to the pattern I was recording in my left hand. I found this strategy to work very well."
64,511,EMAILED ," As far as remembering the tones, I used my hands to remind myself which direction the tones went. For example: for the higher tones I pointed up, for the middle tones I pointed straight, and for the lower tones I pointed down. When I did the math equations, I was able to remember my hand patterns much better than I could remember the notes alone."
65,512,EMAILED , I would try to use as little brain power as possible to solve the math problem then say the answer in my head over and over while also trying to remember the pitch.
66,513,NO RESPONSE,
67,514,EMAILED , The main strategy I remember using was to remember each note and treat it like i was creating a melody note by note and just adding onto the melody with each question.
68,515,NO RESPONSE,
69,516,EMAILED ," Well that's incredibly unfortunate! My response was something along the lines of: I assigned each of my fingers on my left hand a pitch and tried to recall the order in which I tapped them after answering the math problems. I also tried recognizing patterns within the organization of pitches, as in it follows an ascending to depending pattern or whatever else."
70,517,NO RESPONSE,
71,518,NO RESPONSE,
72,519,NO RESPONSE,
73,520,NO RESPONSE,
74,521,NO RESPONSE,
75,522,NO RESPONSE,
76,523,NO RESPONSE,
77,524,NO RESPONSE,
78,525,NO RESPONSE,
79,526,NO RESPONSE,
80,527,NO RESPONSE,
81,528,NO RESPONSE,
82,529,NO RESPONSE,
83,530,NO RESPONSE,
84,531,NO RESPONSE,
85,532,NO RESPONSE,
86,533,NO RESPONSE,
87,534,EMAILED ," I tried to continuously repeat the words """"hi"""", """"lo"""" and """"mid"""" (like a chant somewhat) in the correct pattern of the tones, adding on each time I heard a new tone. I also sometimes tried to imagine them visually as a high dot, a middle dot, and a low dot and would sort of •À_hop•À_ from one to the other in my brain and create a path that represented the tone orders. I tried to keep these things continuously on a loop in the back of my head while trying to use as little of my focus as possible to answer the math problems and still get them right."
88,535,EMAILED ," I just sang the notes to myself, and came up with rhymes to remember the sequences sometimes. With the math, I just made sure not to overthink what I was doing."
89,536,NO RESPONSE,
90,537,EMAILED ," I made a finger stand for each high, low, or medium sound, and I would move my finger in a different position every time the pitch was played, to remember the number of times each pitch was played. Then I just focused on memorizing the order of the tunes. "
91,538,NO RESPONSE,
92,539,NO RESPONSE,
93,540,NO RESPONSE,
94,541,NO RESPONSE,
95,542,NO RESPONSE,
96,543,NO RESPONSE,
97,544,NO RESPONSE,
98,545,NO RESPONSE,
99,546,EMAILED , I would just remember the first letter of each tone type and keep repeating that in my head as I solved the math problems.
100,547,EMAILED ," A few strategies I used in the experiment were audiating the pitches in my head as if i were simply remembering my favorite song as i did the math. It was very relaxed as to avoid the stress of """"trying"""" to remember something."
101,548,NO RESPONSE,
102,549,EMAILED , Some strategies I used for remembering tone while solving math equations were repeating the tones in order in my head over and over until I came to the screen where I input them and did so to the best of my knowledge.
103,550,NO RESPONSE,
104,551,EMAILED , I believe in that task I assigned a letter to each tone and was able to keep track of the pattern in my head. Audiating the pitches while repeating the pattern was also very helpful.
105,552,NO RESPONSE,
106,553,NO RESPONSE,
107,554,NO RESPONSE,
108,555,EMAILED , I remember using my fingers to represent low middle and high tones and then created a pattern by tapping the corresponding finger to the note it represented when I heard the tones being played. While I had that pattern I solved the math problems like normal in the midst of it
109,556,NO RESPONSE,
110,700,NO RESPONSE,
111,701,NO RESPONSE,
112,702,NO RESPONSE,
113,703,NO RESPONSE,
114,704,NO RESPONSE,
115,705,NO RESPONSE,
116,706,NO RESPONSE,
117,707,NO RESPONSE,
118,708,NO RESPONSE,
119,709,NO RESPONSE,
120,710,NO RESPONSE,
121,711,NO RESPONSE,
122,712,NO RESPONSE,
123,713,NO RESPONSE,
124,714,NO RESPONSE,
125,715,NO RESPONSE,
126,716,NO RESPONSE,
127,717,NO RESPONSE,
128,718,NO RESPONSE,
129,719,NO RESPONSE,
130,720,NO RESPONSE,
131,721,RESPONSE,"I used my fingers as if I were playing piano with the low being my left pinkie, the middle being my left middle finger, and the high being my left thumb pressing them on the table when i heard the sounds.  "
132,722,NO RESPONSE,
133,723,RESPONSE,"I repeated the order of the pitches while solving the math problems. I was solving the math problems in the back of my mind, not putting as much effort into that as much as I was memorizing the pitches. "
134,724,NO RESPONSE,
135,725,RESPONSE,"For the most part I could remember the shape of the line between tones. The pattern of Low High Middle I remember as the NBC tune. But I for the most part just got the contour of the series, which is simple with only three tones. It would be much more difficult if there were any more.  "
136,726,RESPONSE,I sped up the tones in my head to bunch them together. I also used my fingers to feel the pattern in an imaginary piano on the desk.  
137,727,RESPONSE,"I had a counting system for the tones on my left hand. A finger folded in was low, bent was medium, stretched was high "
138,728,RESPONSE,"i used visual references, so low was left, mid was middle and high was right. MLH was easier to remember as middle, left, right "
139,729,RESPONSE,I just tried to remember patterns in the melodies if any patterns existed. 
140,730,RESPONSE,I tried to hum the tones  
141,731,RESPONSE,"i associated the tones with different fingers on my left hand- low was my pointer finger, middle was my middle finger, and high was my ring finger- and pressed down the appropriate finger when that tone was playing like on a piano and I tapped out the pattern inbetween the math questions to remember them. "
142,732,RESPONSE,"associated the note patterns with finger patterns. the fingers became secondary, which allowed me to focus on the math. "
143,734,RESPONSE,just memorization of melodic tones and matching the order in my head 
144,736,RESPONSE,I memorized the solfedge of the notes (G/F#/f)) 
145,900,RESPONSE,"assigned each note a finger and would press it like a piano or keyboard when it was made, and then remember the order.  Also, I would repeat the orders aloud . "
146,901,RESPONSE,After I heard the sound I would say QUOTElow high  or medium in my head. But eventually I would forget after about 4  
147,902,RESPONSE,"I recited in my head either L,M,or H to remember the order of the tones because it is easier than saying low, medium, or high.  "
148,903,RESPONSE,after each tone i kept repeating which tone was played 
149,904,NO RESPONSE,
150,905,RESPONSE,I Repeated (ex.loex.low medium high in my head as i was doing the problems 
151,906,RESPONSE,using fingers to keep track 
152,907,RESPONSE,I assigned numbers to the pitches: high = 3 medium = 2 and low = 1. I constantly recited the pattern of numbers over and over in my head after each sound was presented. 
153,908,RESPONSE,i played a song with the notes in my mind. 1 high 2 low 3 med. 
154,909,RESPONSE,repeating after bconverting tones to letters 
155,910,RESPONSE,treid to repeatedly say the tunes i heard as I was doing my math problems.  
156,911,RESPONSE,"as each tone appeared I would try to remember their order by ranking them from low,medium,highin the order they appeared "
157,912,NO RESPONSE,
158,913,RESPONSE,I really didnt have any strategies. 
159,914,RESPONSE,I continued to repeat them as they came up and solved the math as fast as possible 
160,915,NO RESPONSE,
161,916,NO RESPONSE,
162,917,RESPONSE,At first I would use my 3 fingers to tap which tone it was and try to repeat it on the screen. the 3 fingers were in order of low to high. but i eventually would move my mouse to the area of where the check box was when the sound appeared. 
163,918,RESPONSE,"remembered high as h, low as l, and middle as m and as  I heard the tone I memorized the letter and associated it with a word "
164,919,RESPONSE,I tried to remember the sound in my head with the letter that the sound starts with. 
165,920,RESPONSE,Repeated the tones in order quickly in my head before solving each additional math problem 
166,921,RESPONSE,I QUOTEstarted internally singing the melodies of the tones while I completed the math problems.  
167,922,RESPONSE,I tried to sing the tones in my head while I was solving the math problems. 
168,923,RESPONSE,none 
169,924,RESPONSE,repetition 
170,925,RESPONSE,I repeated the tone after each math problem. 
171,926,RESPONSE,none 
172,927,RESPONSE,"In this experiment, I tried to keep a small memory of what it sounded like before in my mind and would repeat it in my head as i do the math problems. "
173,928,RESPONSE,"I would mentally say whether the tone was high , medium or low after each sound then I would try to say them in order in between math problems "
174,929,RESPONSE,"I used my fingers like I was LEFTBRACKETplaying the piano--high notes were on my thumb, medium on my third finger and low on my pinky. Two hands would have helped because I could have used one to count and the other to play the rhythmn.  "
175,930,RESPONSE,move the mouse in correspondance with where the boxes would be a repeat the order of th tones over and over 
176,931,NO RESPONSE,
177,932,RESPONSE,i tried to remember a game called high low when the tones were high then low.  
178,934,NO RESPONSE,
179,935,RESPONSE,I kept repeating  H for everytime I heard a HIGH tone a M for medium  and an L for low. It was easier to remember that way. 
180,936,RESPONSE,"I thought about the fingers on my hand and my pinkie was for the low notes, my middle finger for the mediLEFTARROWLEFTARROWum notes and my thumb for the high notes. "
181,937,RESPONSE,"I tapped my fingers to match each tone, thumb for high, middle finger for middle, and pinky for low tone. I also repeated the tones before each math problem. "
182,938,RESPONSE,i counted on my fingers how many problems i did 
183,939,RESPONSE,i repeated the tone after each math problem  
184,940,NO RESPONSE,
185,941,RESPONSE,repeat sequences of tons in my head  
186,942,RESPONSE,Counting on my fingers for faster results and tapping the desking to which pitch the tone was in order of (low (all the way to the left 
187,943,RESPONSE,I just memorized the tones. 
188,944,RESPONSE, memorizing tones while doing math 
189,945,RESPONSE,focus on repeating each tone to myself after each math question in the sequence I heard before 
190,946,RESPONSE,"tried to repeat the note i recognized over and over in my head, also tried using my fingers to signify different notes.  "
191,947,RESPONSE,kept repeating them to myself. 
192,948,RESPONSE,I used my fingers to remember different tones 
193,949,RESPONSE,I had used my fingers to keep track of the sounds I had heard through the headphones.LEFTARROW 
194,950,RESPONSE,None 
195,951,RESPONSE,I used my fingers to remember the sounds in order.  
196,952,RESPONSE,not paying so much attention to the math problem/repeating the tones as i do the math problem 
197,953,RESPONSE,my finger positions 
198,954,RESPONSE,I did not use any strategies. 
199,955,RESPONSE,"I really ad no strategies, doing math and trying to remeber the order of the tones was very hard. "
200,956,RESPONSE,"rehearsing the words QUOTEhigh, low, or medium in a pattern while working through the problems "
201,957,RESPONSE,"i tried to tap them out on my fingers.. for some it worked, and for some not so much "
202,958,RESPONSE,i tried to repeat the sounds to myself in the order that they were played directly after they were played 
203,959,RESPONSE, 1-low 
204,960,RESPONSE,I tried to repeat the tones in my head after doing each math problemUPARROW and everytime I start from the first tone and repeat through the one I just heard. 
205,961,RESPONSE,  
206,962,RESPONSE,"I tried to memorize them at first but the interval of the trial got too long for me to remember. I then tried to break it into 3 categories on my hands and got the number of them right, but not the order. "
207,963,RESPONSE,"I repeated the tones over and over in my head and mouthing the words medium, low, and high. "
208,964,RESPONSE,I tried memorizing tones 3 at a time 
209,965,RESPONSE,"Tried using my fingers to record if the tones were low, med or high "
210,966,RESPONSE," memorizing groups of letters instead of the actual tones, just thinking mhlLEFTARROWRIGHTARROW "
