subject_id,one,two,three,four,summary,revSummary
1309,"{""Q0"":[""Rehearsal"",""Auditory Image""]}","{""Q0"":[""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","Rehearsal, Explicit Musical Word","Rehearsal, Explicit Musical Word"
1310,"{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal""]}","Snsory-Motor, Rehearsal","Snsory-Motor, Rehearsal"
1311,"{""Q0"":[""Metaphor"",""Auditory Image""]}","{""Q0"":[""Rehearsal"",""Auditory Image""]}","{""Q0"":[""Rehearsal"",""Auditory Image""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Auditory Image""]}","Auditory Image, Rehearsal","Auditory Image, Rehearsal"
1312,"{""Q0"":[""Sensory-Motor"",""Ordinal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","Sensory-Motor,Explicit Musical Word, Ordinal","Sensory-Motor,Explicit Musical Word, Ordinal"
700,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","Rehearsal, Ordinal","Rehearsal, Ordinal"
724,"{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","Ordinal, Rehearsal","Ordinal, Rehearsal"
737,"{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}",Sensory-Motor,Sensory-Motor
738,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}",Rehearsal,Rehearsal
739,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}",Rehearsal,Rehearsal
740,"{""Q0"":[]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}",Rehearsal,Rehearsal
741,"{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[]}",None,None
742,"{""Q0"":[""Metaphor""]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[]}",No agreement,"Rehearsal, Auditory Image"
923,"{""Q0"":[""Sensory-Motor"",""Metaphor""]}","{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Metaphor"",""Rehearsal""]}","Sensory-Motor, Metaphor","Sensory-Motor, Metaphor"
976,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}",Rehearsal,Rehearsal
977,"{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}","{""Q0"":[""Sensory-Motor""]}",Sensory-Motor,Sensory-Motor
978,"{""Q0"":[""Rehearsal""]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[""Rehearsal""]}",Rehearsal,Rehearsal
979,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","Rehearsal, Ordinal","Rehearsal, Ordinal"
980,"{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","Ordinal, Rehearsal, Explicit Musical Word","Ordinal, Rehearsal, Explicit Musical Word"
981,"{""Q0"":[""Sensory-Motor"",""Metaphor"",""Auditory Image""]}","{""Q0"":[""Rehearsal"",""Auditory Image""]}","{""Q0"":[""Rehearsal"",""Auditory Image""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Auditory Image""]}","Auditory Image, Rehearsal","Auditory Image, Rehearsal"
982,"{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[""Ordinal""]}",No agreement,Rehearsal
983,"{""Q0"":[""Metaphor""]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[""Rehearsal""]}",No agreement,Sensory-Motor
984,"{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Metaphor"",""Rehearsal""]}","Sensory-Motor, Rehearsal, Metaphor","Sensory-Motor, Rehearsal, Metaphor"
987,"{""Q0"":[""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}",Rehearsal,Rehearsal
988,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}",Rehearsal,Rehearsal
