Q70,1-Jan,QID10,1-Nov,QID50,6,QID30,1-Jul,QID34,1-Aug,QID38,14,QID62,1-Dec,QID54,26,QID110,13-1,QID58,15-1,QID66,20-1,QID86,25-1,QID106,27-1,QID114,SC0,SC9,uid,phase,task,t
526,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm guessing,Same,I'm totally sure,8,8,,,,1
527,Same,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I'm totally sure,8,8,,,,1
528,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I'm guessing,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,9,9,,,,1
529,Different,I think so,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I think so,10,10,,,,1
530,Same,I think so,Different,I'm guessing,Same,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I'm guessing,Same,I think so,Same,I think so,Different,I think so,9,9,,,,1
534,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Different,I'm guessing,Different,I think so,Same,I think so,Different,I'm guessing,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,8,8,,,,1
531,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm guessing,Different,I'm totally sure,Different,I'm totally sure,Same,I'm guessing,Different,I'm totally sure,6,6,,,,1
532,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,10,10,,,,1
533,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I think so,Same,I'm guessing,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,10,10,,,,1
535,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I think so,11,11,,,,1
536,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I think so,10,10,,,,1
537,Different,I think so,Same,I think so,Different,I think so,Same,I'm totally sure,Same,I'm guessing,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I think so,11,11,,,,1
538,Same,I think so,Same,I think so,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,7,7,,,,1
539,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Same,I'm guessing,Different,I think so,9,9,,,,1
540,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm guessing,Same,I think so,6,6,,,,1
541,Same,I think so,Same,I'm guessing,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,7,7,,,,1
542,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,11,11,,,,1
543,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm guessing,Same,I'm totally sure,Same,I'm guessing,Same,I'm guessing,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I'm totally sure,10,10,,,,1
544,Different,I think so,Different,I think so,Same,I'm guessing,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,9,9,,,,1
545,Different,I think so,Different,I think so,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,7,7,,,,1
546,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,9,9,,,,1
547,Different,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I think so,Different,I'm guessing,Different,I think so,7,7,,,,1
548,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I think so,Same,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,10,10,,,,1
549,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,11,11,,,,1
550,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,7,7,,,,1
551,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I think so,6,6,,,,1
552,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,13,13,,,,1
553,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,8,8,,,,1
554,Different,I think so,Different,I'm guessing,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,9,9,,,,1
555,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I'm totally sure,Different,I think so,8,8,,,,1
700,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,9,9,,,,1
701,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,11,11,,,,1
702,Different,I think so,Same,I'm guessing,Same,I'm guessing,Same,I'm guessing,Same,I'm guessing,Same,I think so,Different,I'm guessing,Different,I'm guessing,Same,I'm guessing,Different,I'm guessing,Different,I'm guessing,Same,I think so,Different,I think so,8,8,,,,1
703,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Different,I'm guessing,Same,I think so,Different,I think so,Different,I'm totally sure,11,11,,,,1
704,Same,I think so,Different,I think so,Different,I think so,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I think so,8,8,,,,1
705,Different,I'm totally sure,Same,I'm guessing,Different,I'm totally sure,Same,I'm guessing,Different,I'm guessing,Different,I'm totally sure,Same,I'm guessing,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,10,10,,,,1
706,Different,I'm totally sure,Different,I'm guessing,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm guessing,Same,I think so,Different,I think so,7,7,,,,1
707,Same,I'm guessing,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I think so,Different,I think so,Same,I'm totally sure,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I'm guessing,10,10,,,,1
708,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,10,10,,,,1
709,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm guessing,Same,I think so,Same,I think so,Different,I'm guessing,Same,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,10,10,,,,1
710,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,7,7,,,,1
711,Same,I think so,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,7,7,,,,1
712,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,10,10,,,,1
713,Different,I'm totally sure,Different,I think so,Same,I'm guessing,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm totally sure,10,10,,,,1
714,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm guessing,Same,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,10,10,,,,1
715,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I think so,9,9,,,,1
716,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,11,11,,,,1
717,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,8,8,,,,1
718,Different,I'm guessing,Same,I'm totally sure,Different,I think so,Same,I think so,Different,I'm guessing,Different,I'm guessing,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I'm guessing,10,10,,,,1
719,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,5,5,,,,1
720,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I think so,11,11,,,,1
721,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,10,10,,,,1
722,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm guessing,Same,I'm totally sure,Different,I'm totally sure,11,11,,,,1
723,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Different,I'm guessing,Same,I think so,Different,I think so,10,10,,,,1
724,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,10,10,,,,1
725,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Same,I'm guessing,Different,I think so,Different,I think so,Different,I think so,Different,I'm guessing,10,10,,,,1
726,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,7,7,,,,1
727,Different,I'm guessing,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm guessing,Different,I think so,12,12,,,,1
728,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I think so,Same,I'm totally sure,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,8,8,,,,1
729,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,11,11,,,,1
730,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I think so,8,8,,,,1
731,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,8,8,,,,1
732,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,10,10,,,,1
733,Same,I think so,Different,I'm guessing,Same,I think so,Same,I think so,Different,I'm guessing,Same,I think so,Different,I'm guessing,Different,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm guessing,5,5,,,,1
734,Different,I'm totally sure,Same,I'm totally sure,Different,I'm guessing,Same,I think so,Different,I'm guessing,Same,I'm totally sure,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I'm totally sure,12,12,,,,1
735,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm guessing,Different,I'm totally sure,10,10,,,,1
736,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,9,9,,,,1
900,Different,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I think so,Same,I'm guessing,Different,I think so,Same,I think so,Different,I think so,Different,I think so,11,11,,,,1
901,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I think so,8,8,,,,1
902,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,12,12,,,,1
903,Different,I think so,Same,I'm guessing,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm guessing,Same,I'm guessing,Different,I'm guessing,Same,I'm guessing,Different,I think so,Same,I'm guessing,Same,I think so,Different,I'm guessing,11,11,,,,1
904,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I think so,8,8,,,,1
905,Different,I think so,Same,I'm guessing,Same,I think so,Different,I think so,Different,I'm guessing,Different,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,9,9,,,,1
906,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I think so,Same,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,10,10,,,,1
907,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,10,10,,,,1
908,Different,I'm totally sure,Different,I think so,Same,I'm guessing,Same,I'm totally sure,Different,I think so,Same,I think so,Different,I'm guessing,Same,I think so,Different,I'm guessing,Different,I'm guessing,Same,I'm guessing,Same,I'm totally sure,Different,I'm totally sure,9,9,,,,1
909,Different,I'm guessing,Same,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm guessing,Different,I think so,Same,I think so,Same,I think so,Same,I'm totally sure,9,9,,,,1
910,Different,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Same,I'm totally sure,7,7,,,,1
911,Different,I think so,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I'm totally sure,8,8,,,,1
912,Different,I think so,Different,I'm guessing,Same,I'm totally sure,Different,I think so,Different,I'm guessing,Same,I think so,Same,I'm totally sure,Different,I think so,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm guessing,6,6,,,,1
913,Same,I think so,Different,I'm guessing,Same,I'm guessing,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I'm guessing,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,7,7,,,,1
