StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q602,8b_0_GROUP,8b_1_GROUP,8b_2_GROUP,8b_3_GROUP,8b_0_1_RANK,8b_0_2_RANK,8b_0_3_RANK,8b_0_4_RANK,8b_0_5_RANK,8b_0_6_RANK,8b_0_7_RANK,8b_0_8_RANK,8b_0_9_RANK,8b_0_10_RANK,8b_0_11_RANK,8b_0_12_RANK,8b_0_13_RANK,8b_0_14_RANK,8b_0_15_RANK,8b_0_16_RANK,8b_1_1_RANK,8b_1_2_RANK,8b_1_3_RANK,8b_1_4_RANK,8b_1_5_RANK,8b_1_6_RANK,8b_1_7_RANK,8b_1_8_RANK,8b_1_9_RANK,8b_1_10_RANK,8b_1_11_RANK,8b_1_12_RANK,8b_1_13_RANK,8b_1_14_RANK,8b_1_15_RANK,8b_1_16_RANK,8b_2_1_RANK,8b_2_2_RANK,8b_2_3_RANK,8b_2_4_RANK,8b_2_5_RANK,8b_2_6_RANK,8b_2_7_RANK,8b_2_8_RANK,8b_2_9_RANK,8b_2_10_RANK,8b_2_11_RANK,8b_2_12_RANK,8b_2_13_RANK,8b_2_14_RANK,8b_2_15_RANK,8b_2_16_RANK,8b_3_1_RANK,8b_3_2_RANK,8b_3_3_RANK,8b_3_4_RANK,8b_3_5_RANK,8b_3_6_RANK,8b_3_7_RANK,8b_3_8_RANK,8b_3_9_RANK,8b_3_10_RANK,8b_3_11_RANK,8b_3_12_RANK,8b_3_13_RANK,8b_3_14_RANK,8b_3_15_RANK,8b_3_16_RANK,t
10/6/17 9:26,10/6/17 9:32,IP Address,167.96.143.239,100,365,TRUE,10/6/17 9:32,R_3LjWAXcO5FtI7Ko,,,,,30.40499878,-91.1867981,anonymous,EN,510,",, ,",",,,",",,,",",,,",,,1,,,,,,,3,,4,,2,,,,1,,,,2,,,4,,,,3,,,,2,,,1,,,,4,,,,,,,3,,,,,,3,,4,,,,2,,,,,1,1
10/6/17 13:53,10/6/17 14:00,IP Address,167.96.32.135,100,411,TRUE,10/6/17 14:00,R_2SBKjiKiWPirqOS,,,,,30.40499878,-91.1867981,anonymous,EN,511,",,,",",,,",", ,,",",,,",3,,,,,,,,,,1,,,,4,2,,,,3,,,,4,2,,,,1,,,,,1,,,3,,,,,2,,,,4,,,,,1,,,4,2,,,,,3,,,,,1
10/9/17 13:37,10/9/17 13:41,IP Address,167.96.136.229,100,275,TRUE,10/9/17 13:41,R_2nKbtoYPIvjU7lf,,,,,30.40499878,-91.1867981,anonymous,EN,512,",,,",",,,",",,,",", ,,",,,,2,,,3,,1,,,,4,,,,4,,,,2,,,,,,3,,,,,1,,,3,,,1,,,,,,4,,2,,,,1,,,,,,4,,2,,,,,3,,1
10/9/17 16:48,10/9/17 16:53,IP Address,167.96.115.9,100,320,TRUE,10/9/17 16:53,R_2f9jZYLCtSsw46M,,,,,30.40499878,-91.1867981,anonymous,EN,513,",, ,",",,,",",,,",",,,",,,1,,,4,,,,3,,,,2,,,,4,,1,,,,2,3,,,,,,,,,,,,2,,,,,,4,,,,3,1,2,,,,,,3,,,,,4,1,,,,1
10/9/17 19:56,10/9/17 20:01,IP Address,167.96.136.229,100,291,TRUE,10/9/17 20:01,R_25Kgtc4lly0gVZW,,,,,30.40499878,-91.1867981,anonymous,EN,514,", ,,",",,,",",,,",",,,",,,3,,,,,,,2,,1,,,4,,4,,,,1,,,,,,3,,,,,2,,,,4,,,,2,3,,,,1,,,,,4,,,,2,3,,,,,,,1,,,1
10/9/17 20:00,10/9/17 20:08,IP Address,167.96.17.113,100,490,TRUE,10/9/17 20:08,R_3L1Oyzl3qTEjMZc,,,,,30.40499878,-91.1867981,anonymous,EN,515,",,,",",,,",",,,"," ,,,",4,,,,3,,,,,,2,,,,,1,,,,3,,,,4,2,,,,1,,,,,3,,,,1,,,,,,,,2,4,,,,4,,,,3,,,1,,2,,,,,1
10/10/17 13:08,10/10/17 13:15,IP Address,167.96.57.245,100,407,TRUE,10/10/17 13:15,R_ezCEjER5dkQVIZz,,,,,30.40499878,-91.1867981,anonymous,EN,516,",,,",",, ,",",,,",",,,",,,,3,,4,,,2,,,,1,,,,2,,,,,,,,,3,,,,1,4,,,2,3,,,,1,,,,,4,,,,,,,,,3,,,4,,,1,,,,,2,1
10/10/17 12:59,10/10/17 13:05,IP Address,167.96.129.183,100,363,TRUE,10/10/17 13:05,R_1qWn6uwvSc8StPF,,,,,30.40499878,-91.1867981,anonymous,EN,517,",,,",",,,",",, ,",",,,",,,,,,1,,4,2,,,,3,,,,,,,2,1,,,,,,,,,,4,3,,4,,,,,,,,3,,2,,1,,,3,,2,,,,4,,,,1,,,,,,1
10/10/17 16:54,10/10/17 16:57,IP Address,167.96.129.183,100,169,TRUE,10/10/17 16:57,R_30pB7KOMQhv6GRx,,,,,30.40499878,-91.1867981,anonymous,EN,518,",, ,",",,,",",,,",",,,",,4,,,,,,,,3,1,,,,,2,3,,4,,1,,,,,,,,,,2,,,,,,,1,2,,,,,3,,4,,,,,,3,,,,4,1,,,,2,,,,1
10/10/17 16:35,10/10/17 16:39,IP Address,167.96.93.6,100,242,TRUE,10/10/17 16:39,R_sMWKYGGthCoW0aR,,,,,30.40499878,-91.1867981,anonymous,EN,519,",,,",",,,",",,,",",,, ",,,,3,2,,,,,,4,,,,,1,,,1,,,,4,2,,,,,,,3,,,,,,,3,,,4,,,1,2,,,,2,3,,,,,,,,4,,,,1,,,1
10/10/17 16:56,10/10/17 17:02,IP Address,167.96.57.245,100,310,TRUE,10/10/17 17:02,R_32L52NCsTSShQoO,,,,,30.40499878,-91.1867981,anonymous,EN,520,", ,,",",,,",",,,",",,,",,3,,,,4,,,,2,,1,,,,,,,,,2,,4,,,,3,,,,,1,,,,2,,,,4,3,,,,1,,,,2,,3,,,,,,,,,,,1,4,,1
10/11/17 13:56,10/11/17 14:02,IP Address,167.96.143.97,100,399,TRUE,10/11/17 14:02,R_2OYHzGWcIdFT633,,,,,30.40499878,-91.1867981,anonymous,EN,521,",,,",", ,,",",,,",",,,",,,,,2,,,,,,3,,,,4,1,,1,,4,,,,,,2,,,,3,,,,,,,,1,4,,3,,,2,,,,,4,,2,,,,,3,,,,,1,,,,1
10/11/17 13:50,10/11/17 14:03,IP Address,167.96.63.185,100,765,TRUE,10/11/17 14:03,R_3P4AeDg6mofrGDx,,,,,30.40499878,-91.1867981,anonymous,EN,522,",,, ",",,,",",,,",",,,",,2,,,,1,,,,4,,,,,3,,,,,4,,,3,2,1,,,,,,,,4,,,,1,,,,,,2,,,,,3,,,1,,,,,,,,,3,4,2,,,1
10/11/17 15:32,10/11/17 15:37,IP Address,167.96.143.97,100,300,TRUE,10/11/17 15:37,R_veuGwV7oQZI1EYh,,,,,30.40499878,-91.1867981,anonymous,EN,523," ,,,",",,,",",,,",",,,",,,,,3,4,,,,1,,,,2,,,,,,4,,,,2,,,,,3,,1,,,4,,,,,,,,,1,3,,,,2,2,,4,,,,1,,3,,,,,,,,1
10/11/17 16:04,10/11/17 16:09,IP Address,167.96.81.215,100,292,TRUE,10/11/17 16:09,R_2zPkCB4v8OUzej7,,,,,30.40499878,-91.1867981,anonymous,EN,524," ,,,",",,,",",,,",",,,",,4,,,,3,,,,1,,,,2,,,,,,1,,,,2,4,,,,3,,,,2,,,,,,,,,,3,4,,,,1,,,3,,1,,4,,,,,,,,2,,1
10/11/17 15:46,10/11/17 15:49,IP Address,167.96.63.185,100,228,TRUE,10/11/17 15:49,R_wQV1H8tQtanxpv3,,,,,30.40499878,-91.1867981,anonymous,EN,525,",,,",",,,",",,,",",,, ",,,,,2,,,4,,,,,,,3,1,,,2,1,,,,,3,,,4,,,,,,4,,,,1,2,,,,,,,3,,,1,,,,,,,,,4,2,,3,,,,1
10/12/17 10:32,10/12/17 10:37,IP Address,167.96.115.222,100,324,TRUE,10/12/17 10:37,R_2tJMLOBFlmZNGYO,,,,,30.40499878,-91.1867981,anonymous,EN,526,",,,",",,,",",,,",", ,,",,,,2,4,,,3,,,,,1,,,,,3,,,,1,,,2,,,,,4,,,,,3,,,,4,,,,2,,,,,1,4,,,,,,,,,2,,1,,,3,,1
10/12/17 12:54,10/12/17 13:01,IP Address,167.96.143.97,100,378,TRUE,10/12/17 13:01,R_3g5inmRSztkdL0M,,,,,30.40499878,-91.1867981,anonymous,EN,527,",,,",",,,",",, ,",",,,",,,3,,,,,,,,,1,4,2,,,,,,2,,,4,1,3,,,,,,,,,1,,,,2,,,,3,4,,,,,,1,,,,2,,,,,,,,,,3,4,1
10/12/17 13:14,10/12/17 13:19,IP Address,167.96.81.215,100,250,TRUE,10/12/17 13:19,R_2OGYDZvPJmbH8Qm,,,,,30.40499878,-91.1867981,anonymous,EN,528,",,,",",,,",",, ,",",,,",1,,2,3,,,4,,,,,,,,,,,,,,4,,,,2,,1,3,,,,,,4,,,,1,,,,3,,,,2,,,,,,,,,,4,,,,,2,,1,3,1
10/12/17 15:14,10/12/17 15:19,IP Address,167.96.143.97,100,299,TRUE,10/12/17 15:19,R_qx2KEzpoUPyJDdT,,,,,30.40499878,-91.1867981,anonymous,EN,529,",,,",",,,",",,, ",",,,",,,,4,,,,2,3,,,,1,,,,,2,4,,3,,,,,,,,,,1,,,,,,,2,,,,4,,1,,3,,,2,,,,,,4,,,,1,,,,,3,1
10/12/17 17:10,10/12/17 17:15,IP Address,167.96.143.97,100,304,TRUE,10/12/17 17:15,R_USGskevqJ14cufT,,,,,30.40499878,-91.1867981,anonymous,EN,530,",,,",",, ,",",,,",",,,",,,,1,,,3,,2,,,,4,,,,1,4,2,,,,,,,3,,,,,,,,,,,1,,,,,,4,,,,3,2,,,,,,3,,2,,,,4,,1,,,1
10/16/17 13:59,10/16/17 14:09,IP Address,167.96.150.95,100,600,TRUE,10/16/17 14:09,R_12mWX1noIyHG9w9,,,,,30.40499878,-91.1867981,anonymous,EN,534,",,,",", ,,",",,,",",,,",,,,2,,,3,,4,,,,1,,,,1,,3,,,,,4,,2,,,,,,,,3,,,,1,,,,,,2,,4,,,,,,,3,,,,,,2,,,,4,1,1
10/16/17 15:36,10/16/17 15:39,IP Address,167.96.150.95,100,197,TRUE,10/16/17 15:39,R_5n03zSQiZwz593H,,,,,30.40499878,-91.1867981,anonymous,EN,531,",,,",",,,",", ,,",",,,",,2,,,,4,3,,,,,,,1,,,,,,4,,,,3,,,,2,1,,,,,,1,,,,,,4,2,,,,,,3,4,,,,3,,,,,,2,,,,1,,1
10/16/17 15:42,10/16/17 15:46,IP Address,167.96.117.114,100,229,TRUE,10/16/17 15:46,R_3JyYhOSCSoRiLg0,,,,,30.40499878,-91.1867981,anonymous,EN,532,",,,",",,,"," ,,,",",,,",,,,1,,2,,,4,,,,3,,,,,,,,,,4,,,,2,,,,3,1,4,,2,,,,,,,1,,3,,,,,,4,,,2,,,3,,,,,,1,,,1
10/16/17 15:52,10/16/17 16:00,IP Address,167.96.120.32,100,484,TRUE,10/16/17 16:00,R_2arHwJSRVE86UwY,,,,,30.40499878,-91.1867981,anonymous,EN,533,",,,",",,,",",,, ",",,,",,,,3,,,,4,1,,,,2,,,,,,2,,,,3,,,,,1,,,4,,,3,,,,2,,,,4,,,,1,,,4,,,,3,,,,,,2,,,,,1,1
10/17/17 13:07,10/17/17 13:18,IP Address,167.96.150.95,100,682,TRUE,10/17/17 13:18,R_1CxXk2VpMDGH6os,,,,,30.40499878,-91.1867981,anonymous,EN,535,",,,",",,,",",,, ",",,,",3,,,,2,,,,,,4,,,,,1,,,,2,,,1,,4,,,,3,,,,,,2,,,,,1,,4,,,,,3,,,2,,,,1,,,,,,4,,3,,,1
10/17/17 13:06,10/17/17 13:11,IP Address,167.96.117.114,100,259,TRUE,10/17/17 13:11,R_9nVKpDLNBQ0m373,,,,,30.40499878,-91.1867981,anonymous,EN,536,",,, ",",,,",",,,",",,,",,1,,,,,,,,4,,2,,3,,,4,,,,2,,,,,,3,,,,,1,,,,3,,4,,,1,,,,2,,,,,,3,,,,2,4,,,,,,,1,,1
10/17/17 13:29,10/17/17 13:37,IP Address,167.96.125.61,100,488,TRUE,10/17/17 13:37,R_9FXW1f64FdFJHbP,,,,,30.40499878,-91.1867981,anonymous,EN,537,",,,",", ,,",",,,",",,,",,,,,,,4,,2,,,,1,,3,,,4,,,,3,,,,2,,,,1,,,,,4,1,,,,3,,,,2,,,,,4,,,,2,,,,,,1,,,,,3,1
10/17/17 16:40,10/17/17 16:43,IP Address,167.96.150.95,100,201,TRUE,10/17/17 16:43,R_1QGkkWBJelljwk0,,,,,30.40499878,-91.1867981,anonymous,EN,538," ,,,",",,,",",,,",",,,",,4,,,,2,,,,1,,,,3,,,,,,,,,3,,2,,,4,1,,,,,,3,2,1,,,4,,,,,,,,,4,,,,,,,,,,2,,,,1,3,1
10/17/17 16:33,10/17/17 16:36,IP Address,167.96.117.114,100,136,TRUE,10/17/17 16:36,R_9uzdzwPM2PXsFfr,,,,,30.40499878,-91.1867981,anonymous,EN,539,",,,",",, ,",",,,",",,,",,,,,2,,,,,,1,,,3,,4,4,,2,,,1,,,,3,,,,,,,,4,,3,,,1,,,,,,2,,,,,,,,,,,2,3,,,4,,,1,,1
10/18/17 13:46,10/18/17 13:50,IP Address,167.96.152.29,100,203,TRUE,10/18/17 13:50,R_1nMCsrH0koxBXOl,,,,,30.40499878,-91.1867981,anonymous,EN,540,",,, ",",,,",",,,",",,,",,,,,,,,1,,4,,2,3,,,,,4,,,,1,,,,,,,,3,2,,,,,1,,,4,,2,,3,,,,,,4,,2,,3,,,,,,,,,,,1,1
10/18/17 13:28,10/18/17 13:33,IP Address,167.96.119.3,100,327,TRUE,10/18/17 13:33,R_2Ck5feww8Nvs4N6,,,,,30.40499878,-91.1867981,anonymous,EN,541,",,,",", ,,",",,,",",,,",4,,3,,,,,2,,,,,,1,,,,1,,,,3,,,,2,,4,,,,,,,,2,,,4,,1,,,,3,,,,,,,,2,,,,,,3,,,,4,1,1
10/18/17 13:38,10/18/17 13:42,IP Address,167.96.69.108,100,243,TRUE,10/18/17 13:42,R_3gXi6NSrB8jB443,,,,,30.40499878,-91.1867981,anonymous,EN,542,",,,",",, ,",",,,",",,,",2,,,,,,,1,,,,,,,4,3,,,1,,,2,4,,,3,,,,,,,,,,2,3,,,,4,,,,1,,,,,4,,,,,,,,,1,3,,2,,,1
10/18/17 15:46,10/18/17 15:49,IP Address,167.96.152.29,100,172,TRUE,10/18/17 15:49,R_2aLUZekaSuhzvYf,,,,,30.40499878,-91.1867981,anonymous,EN,543,",,,",",,,",",,,",",, ,",,,3,,1,,,,4,,,,,,2,,1,,,,,2,,4,,,,,3,,,,,,,,,,,,,,2,1,,4,,3,,1,,2,,,4,,,3,,,,,,,1
10/18/17 15:41,10/18/17 15:45,IP Address,167.96.119.3,100,288,TRUE,10/18/17 15:45,R_12KibzbzhZwVr7r,,,,,30.40499878,-91.1867981,anonymous,EN,544,",, ,",",,,",",,,",",,,",,,,,2,,,,,3,,,,,4,1,,,1,,,,,,3,,2,,,4,,,,,,3,,,2,1,,,,,4,,,,4,2,,,,3,,,,,,1,,,,,1
10/23/17 13:42,10/23/17 13:50,IP Address,167.96.65.26,100,473,TRUE,10/23/17 13:50,R_piyshOrgxlIHRip,,,,,30.40499878,-91.1867981,anonymous,EN,545,",,,",",,,",",,,",",,, ",,2,,,,3,4,,,,,1,,,,,1,,3,,2,,,,,,,,,,,4,,,,4,,,,1,,,,,,3,2,,,,,,,,,,2,4,1,,3,,,,1
10/25/17 13:36,10/25/17 13:39,IP Address,167.96.33.190,100,167,TRUE,10/25/17 13:39,R_3HksCnA7GTPaW5W,,,,,30.40499878,-91.1867981,anonymous,EN,546,",,,",",,,",",, ,",",,,",,,,4,,,,,1,,3,,2,,,,,,,,4,,,1,,,,,,,2,3,4,,,,,,2,,,3,,1,,,,,,4,3,,,2,,,,,,,,1,,,1
10/25/17 13:44,10/25/17 13:46,IP Address,167.96.42.83,100,121,TRUE,10/25/17 13:46,R_3kh2iIAbOlCMGwQ,,,,,30.40499878,-91.1867981,anonymous,EN,547,",,, ",",,,",",,,",",,,",,,3,,,1,,,,4,,,,2,,,,2,,,1,,3,,,,,4,,,,,,,,2,,,,1,3,,,,4,,,,3,,,,,,,,,,2,,,,4,1,1
10/26/17 13:08,10/26/17 13:10,IP Address,167.96.52.51,100,76,TRUE,10/26/17 13:10,R_1M0okIxf9onovhI,,,,,30.40499878,-91.1867981,anonymous,EN,548,",,,",",,, ",",,,",",,,",,1,,,,,3,,,,,,,2,,4,,,3,,,,,,,4,,,1,,2,,3,,,,,2,,,,,1,4,,,,,,,,4,1,,,3,2,,,,,,,,1
10/26/17 13:00,10/26/17 13:04,IP Address,167.96.51.0,100,247,TRUE,10/26/17 13:04,R_3M5SvcHyCuLEUmU,,,,,30.40499878,-91.1867981,anonymous,EN,549,",,,",",,,",",,, ",",,,",,,,,,,,3,4,,,1,2,,,,,4,,,3,,,,,,1,,,,,2,2,,,,,3,,,,4,,,,,1,,,,1,4,,,3,,,,,,,2,,,1
10/30/17 14:07,10/30/17 14:11,IP Address,167.96.41.162,100,237,TRUE,10/30/17 14:11,R_2Eyl0OVI65AFzIP,,,,,30.40499878,-91.1867981,anonymous,EN,550,",,,",",,,",",,,",",,, ",,,,1,,,4,3,,,,,2,,,,3,,,,4,,,,,,2,,,,1,,,,2,,,,,,4,,,1,,,,3,,2,,,,3,,,,4,,,,1,,,1
10/30/17 16:35,10/30/17 16:40,IP Address,167.96.51.0,100,281,TRUE,10/30/17 16:40,R_33xJfHJgOoxFEuj,,,,,30.40499878,-91.1867981,anonymous,EN,551,", ,,",",,,",",,,",",,,",,1,,,,3,,,,2,,,,4,,,,,3,,,,,2,,,,4,,,1,,1,,,,4,,,,,,2,,,,,3,,,,1,,,4,,2,,,,3,,,,1
10/30/17 16:40,10/30/17 16:49,IP Address,167.96.149.168,100,555,TRUE,10/30/17 16:49,R_Dc4WeJ6pdSzAZGx,,,,,30.40499878,-91.1867981,anonymous,EN,552,",,,",",,,",",,,",",, ,",,2,4,,,,3,1,,,,,,,,,,,,3,,,,,4,,,1,2,,,,1,,,,3,,,,,,2,,,,,4,,,,,,1,,,,3,,,,2,4,,1
10/31/17 13:01,10/31/17 13:06,IP Address,167.96.156.251,100,312,TRUE,10/31/17 13:06,R_1LcIOZhT7lrJqVN,,,,,30.40499878,-91.1867981,anonymous,EN,553,",,,",",,,",",,,",",,, ",,3,,,,1,,,,,,4,,2,,,,,,,1,,,,,,2,,,,3,4,,,,3,,,4,,1,,,,2,,,,1,,3,,,,,2,,4,,,,,,,1
10/31/17 13:03,10/31/17 13:09,IP Address,167.96.56.206,100,396,TRUE,10/31/17 13:09,R_3iwetks8OJnYhlG,,,,,30.40499878,-91.1867981,anonymous,EN,554,",,,",", ,,",",,,",",,,",,3,4,,,1,,,,,,,,2,,,,,,,,,,3,,2,,1,,,,4,4,,,,2,,,,,,3,,,,1,,,,,2,,,3,,4,,,,1,,,,1
10/31/17 13:04,10/31/17 13:07,IP Address,167.96.108.75,100,237,TRUE,10/31/17 13:07,R_12MeNKbB8uw7J5v,,,,,30.40499878,-91.1867981,anonymous,EN,555,",,,",",,,",",, ,",",,,",1,,,,4,,,,,,,,,,3,2,,,,1,,,,2,4,,,,3,,,,,,4,,,1,,,,3,,,,2,,,,4,,,,,2,,,,1,3,,,,,1
3/16/18 12:15,3/16/18 12:17,IP Address,130.39.235.94,100,146,TRUE,3/16/18 12:17,R_xcrPXxd8yqIyf4Z,,,,,30.40499878,-91.1867981,anonymous,EN,649,",,,",",,,",", ,,",",,,",,,,2,,4,,,3,,,,1,,,,3,,,,4,,,,,,,,,,2,1,,4,,,,,3,,,2,,,,1,,,,,1,,,,,4,,,2,3,,,,,1
9/28/17 15:37,9/28/17 15:43,IP Address,130.39.235.126,100,377,TRUE,9/28/17 15:43,R_A6gQKIF7mIAGJpv,,,,,30.40499878,-91.1867981,anonymous,EN,700,",,,"," ,,,",",,,",",,,",,,,1,,,3,2,4,,,,,,,,,4,,,,3,,,,1,,2,,,,,,,4,,1,,,,,,3,,,,,2,1,,,,,,,,,,,,3,4,2,,1
10/2/17 13:55,10/2/17 14:02,IP Address,130.39.235.86,100,414,TRUE,10/2/17 14:02,R_UiNK2SuGMW1YL2F,,,,,30.40499878,-91.1867981,anonymous,EN,701,",,,",",,,"," ,,,",",,,",,,,1,,,,4,3,,,,2,,,,2,,4,,,3,,,,,,,,,1,,,3,,,,,,,,1,,2,,4,,,,,,,2,,3,,,,4,,,,,1,1
10/3/17 14:36,10/3/17 14:38,IP Address,130.39.235.86,100,114,TRUE,10/3/17 14:38,R_2ahNdNiFBAQDuuu,,,,,30.40499878,-91.1867981,anonymous,EN,702,",,,",",,,",", ,,",",,,",,,,,2,,,,,,3,,,,4,1,,,,3,,,,,2,,,4,1,,,,,4,,,,1,,,,2,,,,3,,,2,,4,,,,1,3,,,,,,,,,1
10/5/17 17:43,10/5/17 17:49,IP Address,130.39.235.86,100,349,TRUE,10/5/17 17:49,R_3EPSHYEiNLkX4KC,,,,,30.40499878,-91.1867981,anonymous,EN,703,",,, ",",,,",",,,",",,,",,,2,,,,,,,4,,,3,1,,,3,,,,2,,,,,,4,,,,,1,,2,,,,4,,,,,,3,,,1,,,,,1,,,4,3,2,,,,,,,,1
10/9/17 14:00,10/9/17 14:05,IP Address,130.39.235.72,100,333,TRUE,10/9/17 14:05,R_3HYBwUX6HnhwbPQ,,,,,30.40499878,-91.1867981,anonymous,EN,704,",,,"," ,,,",",,,",",,,",,,,4,,,1,,2,,,,3,,,,,2,,,,4,,,,1,,,,3,,,3,,2,,,,,4,,,,1,,,,,,,,,3,,,,,,4,,,,2,1,1
