"","subjectNo","ravensScoreA","ravensScoreB","ravensScoreC","ravenAge","ravenSex","ravenHand","ravenHearing","ravenVision"
"96",1057,6,7,8,19,"female","right","No","Corrected to Normal"
"97",1058,8,6,2,19,"female","right","No","Normal"
"98",1300,9,10,9,18,"male","right","No","Normal"
"99",1301,10,9,12,33,"female","right","No","Corrected to Normal"
"100",1302,8,7,7,18,"male","right","No","Corrected to Normal"
"101",1303,9,7,5,20,"female","left","No","Normal"
"102",1304,9,9,6,22,"male","right","No","Normal"
"103",1305,7,6,7,20,"female","right","Yes","Normal"
"104",1306,3,5,5,22,"female","right","No","Corrected to Normal"
"105",1307,6,7,8,0,"male","right","No","Normal"
"106",1308,12,10,12,20,"female","right","No","Normal"
"107",1309,12,10,11,20,"male","right","No","Corrected to Normal"
"108",1310,8,9,7,19,"female","right","No","Corrected to Normal"
"109",1311,8,8,9,22,"female","right","No","Corrected to Normal"
"110",1312,9,7,8,19,"female","right","No","Corrected to Normal"
"111",531,6,8,7,19,"male","right","No","Normal"
"112",532,2,1,2,20,"female","right","No","I forgot my glasses."
"113",533,11,12,11,19,"male","right","No","Corrected to Normal"
"114",534,12,11,10,18,"female","right","No","Normal"
"115",535,7,8,6,18,"female","right","No","Corrected to Normal"
"116",536,10,10,7,20,"female","right","No","Normal"
"117",537,9,7,6,18,"female","right","Yes","I forgot my glasses."
"118",538,7,6,7,22,"male","right","No","Normal"
"119",539,7,6,5,19,"female","right","No","Corrected to Normal"
"120",540,8,7,5,18,"male","right","No","Normal"
"121",541,7,9,7,18,"male","right","No","Normal"
"122",542,9,6,8,19,"male","right","No","Normal"
"123",543,9,8,7,18,"female","right","No","Corrected to Normal"
"124",544,8,7,9,19,"male","left","Yes","Corrected to Normal"
"125",545,10,10,11,18,"female","right","Yes","I forgot my glasses."
"126",546,9,8,4,18,"female","right","No","Corrected to Normal"
"127",547,9,8,6,18,"male","right","No","Corrected to Normal"
"128",548,10,8,5,24,"female","right","No","Normal"
"129",549,11,9,9,20,"male","right","No","Normal"
"130",550,10,10,10,22,"male","right","No","Normal"
"131",551,12,10,12,20,"male","right","No","Corrected to Normal"
"132",552,9,9,9,18,"male","right","No","Normal"
"133",553,8,7,8,18,"male","right","No","Normal"
"134",554,10,8,10,18,"male","right","No","Corrected to Normal"
"135",555,8,9,10,18,"female","right","No","Corrected to Normal"
"136",711,9,11,12,18,"female","right","No","Corrected to Normal"
"137",712,10,10,6,18,"male","right","No","Corrected to Normal"
"138",713,9,7,9,19,"male","right","No","Normal"
"139",714,9,9,9,18,"male","right","No","Normal"
"140",715,8,8,10,18,"male","right","No","Normal"
"141",716,6,8,10,19,"male","right","No","Normal"
"142",717,7,8,9,18,"male","right","Yes","Normal"
"143",718,12,9,11,18,"male","right","No","Normal"
"144",719,10,10,10,18,"male","right","Yes","Corrected to Normal"
"145",720,10,11,11,18,"male","right","No","Normal"
"146",721,4,6,7,20,"female","right","No","Corrected to Normal"
"147",722,11,10,12,22,"male","right","No","Normal"
"148",723,10,10,10,21,"female","right","No","Normal"
"149",724,10,10,8,19,"male","right","No","Normal"
"150",725,10,10,9,20,"male","right","No","Corrected to Normal"
"151",726,7,8,5,25,"male","right","No","Corrected to Normal"
"152",727,10,9,8,19,"female","right","No","Normal"
"153",728,10,8,8,29,"male","right","No","Normal"
"154",729,12,9,11,23,"male","right","No","Normal"
"155",730,12,10,10,18,"female","right","No","Normal"
"156",731,9,11,9,18,"female","right","No","Corrected to Normal"
"157",732,8,9,7,1,"female","right","No","Corrected to Normal"
"158",733,11,9,12,19,"female","right","No","Corrected to Normal"
"159",734,7,8,5,22,"male","right","No","Normal"
"160",735,9,7,11,19,"male","right","No","Corrected to Normal"
"161",736,7,10,7,17,"female","right","No","Corrected to Normal"
"162",737,6,8,7,23,"female","right","No","Corrected to Normal"
"163",738,9,7,8,22,"female","right","No","Corrected to Normal"
"164",739,9,9,8,20,"male","right","No","Normal"
"165",740,10,9,7,21,"male","left","No","Corrected to Normal"
"166",741,11,8,9,19,"female","right","No","Corrected to Normal"
"167",742,10,8,10,37,"male","right","No","Normal"
"168",900,9,8,10,19,"male","right","No","Corrected to Normal"
"169",901,7,6,7,20,"female","right","No","Normal"
"170",902,8,9,7,22,"male","right","No","Normal"
"171",903,10,10,10,20,"male","right","No","Corrected to Normal"
"172",904,6,6,6,19,"female","right","No","Normal"
"173",905,6,5,7,20,"male","right","No","Corrected to Normal"
"174",906,7,8,5,20,"female","right","No","Normal"
"175",907,11,10,11,19,"female","right","Yes","Normal"
"176",908,9,10,8,18,"female","right","No","Corrected to Normal"
"177",909,7,8,6,18,"male","right","No","Normal"
"178",910,6,6,5,18,"female","right","No","Normal"
"179",911,4,6,3,19,"female","right","No","Corrected to Normal"
"180",912,6,6,6,19,"male","right","No","I forgot my glasses."
"181",913,9,6,10,19,"female","right","No","Corrected to Normal"
"182",914,8,9,8,20,"male","right","No","Corrected to Normal"
"183",915,10,10,7,18,"female","right","No","Corrected to Normal"
"184",916,6,8,5,18,"male","right","No","Normal"
"185",917,10,9,9,21,"female","right","No","Corrected to Normal"
"186",918,9,7,8,21,"female","right","No","Normal"
"187",919,8,8,6,19,"female","right","No","Corrected to Normal"
"188",920,11,8,10,23,"female","right","No","Corrected to Normal"
"189",921,9,8,7,23,"female","right","No","Normal"
"190",922,10,11,9,18,"female","right","No","Normal"
"191",923,8,8,5,19,"female","right","No","Corrected to Normal"
"192",924,5,8,8,21,"male","right","No","Corrected to Normal"
"193",925,7,7,8,22,"female","right","No","Corrected to Normal"
"194",926,7,7,7,20,"male","right","No","Normal"
"195",927,8,7,3,18,"female","right","No","Normal"
"196",928,7,7,6,19,"female","right","No","Corrected to Normal"
"197",929,6,5,8,20,"female","right","No","Normal"
"198",930,11,9,11,19,"male","right","No","Normal"
"199",931,8,7,7,20,"female","right","No","Normal"
"200",932,6,6,6,19,"female","right","No","Normal"
"201",933,8,8,6,0,"female","right","No","Normal"
"202",934,5,6,8,19,"female","right","No","Normal"
"203",936,11,9,11,19,"female","right","No","Normal"
"204",937,11,8,11,20,"female","right","No","Corrected to Normal"
"205",938,5,6,5,18,"female","right","No","Corrected to Normal"
"206",939,8,6,6,19,"female","right","No","Corrected to Normal"
"207",940,8,6,7,19,"female","right","No","Normal"
"208",941,5,5,8,19,"female","right","No","Normal"
"209",942,4,8,6,21,"male","right","No","Normal"
"210",943,5,6,7,19,"female","right","No","Normal"
"211",945,9,9,8,19,"female","right","No","Normal"
"212",946,7,8,6,19,"male","right","No","Normal"
"213",947,7,9,5,19,"female","left","No","Normal"
"214",948,3,4,5,18,"female","right","No","Corrected to Normal"
"215",949,5,5,4,18,"female","right","No","Corrected to Normal"
"216",950,6,7,7,19,"male","right","No","Normal"
"217",951,10,9,7,20,"female","right","No","Normal"
"218",952,9,7,7,19,"female","right","No","Normal"
"219",953,5,6,6,50,"female","right","No","Corrected to Normal"
"220",954,8,6,7,18,"female","right","No","Normal"
"221",955,5,7,5,22,"female","right","No","Normal"
"222",956,8,9,7,20,"female","right","No","Corrected to Normal"
"223",957,11,8,9,18,"female","right","No","Corrected to Normal"
"224",958,10,9,8,19,"female","right","No","Normal"
"225",959,7,6,7,19,"male","right","No","Corrected to Normal"
"226",960,8,5,8,18,"female","left","No","Normal"
"227",961,0,0,1,20,"male","right","No","Normal"
"228",962,8,8,8,20,"female","right","No","Corrected to Normal"
"229",963,7,8,5,19,"female","right","No","Normal"
"230",964,6,7,7,19,"male","left","No","Corrected to Normal"
"231",965,10,9,5,20,"female","right","No","Normal"
"232",966,10,8,12,19,"male","right","No","Corrected to Normal"
"233",967,5,6,4,19,"female","right","No","Corrected to Normal"
"234",968,8,9,7,21,"female","right","No","I forgot my glasses."
"235",969,8,8,8,19,"female","right","No","Normal"
"236",970,2,4,2,0,"female","right","No","Normal"
"237",971,8,3,3,19,"female","right","No","Corrected to Normal"
"238",972,10,9,7,22,"female","left","No","I forgot my glasses."
"239",973,9,5,7,19,"female","right","No","Normal"
"240",974,7,9,7,19,"female","right","No","Corrected to Normal"
"241",975,7,8,7,19,"female","right","No","Normal"
"242",977,10,9,9,18,"male","right","No","Corrected to Normal"
"243",978,9,8,7,19,"male","right","No","Corrected to Normal"
"244",979,8,7,8,18,"male","right","No","Normal"
"245",980,12,10,8,21,"female","right","No","Normal"
"246",981,8,8,8,21,"female","right","No","Normal"
"247",982,10,9,10,19,"male","right","No","Corrected to Normal"
"248",983,9,9,6,19,"female","right","No","Corrected to Normal"
"249",984,7,9,6,20,"female","right","No","Corrected to Normal"
"250",985,8,6,6,22,"female","right","No","Corrected to Normal"
"251",986,7,6,6,25,"male","left","No","Corrected to Normal"
"252",987,10,7,11,20,"female","right","No","Normal"
"253",988,8,7,7,32,"female","right","No","Normal"
