"","subjectNo","tSpanPartialScore","tsMathErrorTotal","tspanPartialBlock1","tspanPartialBlock2","tspanPartialBlock3","tsAccErrorTotal","tsSpeedErrorTotal","tsAbsoluteScore","tsStrats"
"11",1011,34,4,11,14,9,4,0,3,"{ENTER}"
"12",1012,59,5,20,19,20,4,1,21,"{SHIFT}Repeating{SPACE}the{SPACE}sequence{SPACE}of{SPACE}noises{SPACE}in{SPACE}my{SPACE}head{SPACE}when{SPACE}a{SPACE}new{SPACE}one{SPACE}was{SPACE}added{ENTER}"
"13",1013,62,7,20,23,19,5,2,37,"counting{SPACE}how{SPACE}many{SPACE}sounds{SPACE}there{SPACE}were{ENTER}"
"14",1014,38,5,11,11,16,1,4,16,"{SHIFT}Sequencing{SPACE}{CAPSLOCK}LMH{SPACE}{CAPSLOCK}when{SPACE}in{SPACE}order{SPACE}and{SPACE}just{SPACE}remembering{SPACE}{CAPSLOCK}{CAPSLOCK}order{SPACE}or{SPACE}reverse{SPACE}order{SPACE}as{SPACE}one{SPACE}tone{SPACE}{ENTER}"
"15",1015,56,1,19,18,19,1,0,23,"repeating{SPACE}the{SPACE}order{SPACE}of{SPACE}every{SPACE}set{SPACE}of{SPACE}tones{SPACE}over{SPACE}in{SPACE}my{SPACE}head{SPACE}after{SPACE}a{SPACE}new{SPACE}tone{SPACE}was{SPACE}played{SPACE}{ENTER}"
"16",1016,24,9,8,7,9,8,1,0,"the{SPACE}tones{SPACE}were{SPACE}hard{SPACE}for{SPACE}me{SPACE}to{SPACE}remember{.}{ENTER}"
"17",1017,45,13,14,18,13,7,6,15,"{SHIFT}Trying{SPACE}to{SPACE}capture{SPACE}the{SPACE}tone{SPACE}and{SPACE}repeat{SPACE}low{,}{SPACE}medium{SPACE}high{.}{SPACE}{SHIFT}But{SPACE}the{SPACE}math{SPACE}is{SPACE}extremely{SPACE}distracting{SPACE}when{SPACE}you{SPACE}suck{SPACE}at{SPACE}math{.}{ENTER}"
"18",1018,46,4,18,11,17,3,1,24,"if{SPACE}a{SPACE}lower{SPACE}tone{SPACE}played{SPACE}before{SPACE}or{SPACE}after{SPACE}it{,}{SPACE}i{SPACE}knew{SPACE}it{SPACE}couldn{'}t{SPACE}be{SPACE}the{SPACE}lowest{ENTER}"
"19",1019,33,2,9,12,12,1,1,15,"i{SPACE}tried{SPACE}using{SPACE}my{SPACE}fingers{SPACE}to{SPACE}remember{SPACE}which{SPACE}tone{SPACE}went{SPACE}in{SPACE}which{SPACE}order{SPACE}to{SPACE}help{SPACE}visualize{ENTER}"
"20",1020,56,8,17,19,20,5,3,19,"{SHIFT}I{SPACE}sang{SPACE}the{SPACE}notes{SPACE}in{SPACE}my{SPACE}head{SPACE}in{SPACE}order{SPACE}to{SPACE}register{SPACE}them{SPACE}on{SPACE}a{SPACE}mental{SPACE}note{SPACE}chart{.}{ENTER}"
"21",1021,42,19,16,11,15,18,1,10,"i{SPACE}tried{SPACE}remembering{SPACE}the{SPACE}sounds{SPACE}of{SPACE}the{SPACE}patterns{SPACE}so{SPACE}it{SPACE}would{SPACE}be{SPACE}easier{ENTER}"
"22",1022,63,9,17,25,21,7,2,45,"{SHIFT}I{SPACE}attempted{SPACE}to{SPACE}memorize{SPACE}the{SPACE}order{SPACE}{SHIFT}and{SPACE}repeat{SPACE}it{SPACE}adding{SPACE}in{SPACE}the{SPACE}new{SPACE}tone{SPACE}{SHIFT}{(}e{.}g{.}{SPACE}{SHIFT}Medium{,}{SPACE}{SHIFT}Medium{-}{SHIFT}Low{,}{SPACE}{SHIFT}Medium{-}{SHIFT}Low{-}{SHIFT}High{SHIFT}{)}{SHIFT}h{SHIFT}{)}{ENTER}"
"23",1023,47,9,18,15,14,8,1,24,"{SHIFT}Instead{SPACE}of{SPACE}trying{SPACE}to{SPACE}remember{SPACE}the{SPACE}whole{SPACE}word{SPACE}{SHIFT}{(}ex{.}{SPACE}medium{SHIFT}{)}{SHIFT}{SHIFT}m{SHIFT}{)}{SPACE}{SHIFT}I{SPACE}would{SPACE}use{SPACE}the{SPACE}first{SPACE}letter{SPACE}ande{SPACE}repeat{SPACE}it{SPACE}after{SPACE}each{SPACE}one{SPACE}adding{SPACE}them{SPACE}all{SPACE}together{SPACE}at{SPACE}the{SPACE}end{.}{ENTER}"
"24",1024,56,3,19,15,22,2,1,28,"{SHIFT}I{SPACE}didn{'}t{SPACE}use{SPACE}any{SPACE}tricks{.}{SHIFT}{SPACE}{SHIFT}I{SPACE}just{SPACE}did{SPACE}the{SPACE}simple{SPACE}math{SPACE}in{SPACE}my{SPACE}head{SPACE}while{SPACE}saying{SPACE}the{SPACE}tones{SPACE}over{SPACE}in{SPACE}my{SPACE}head{SPACE}again{.}{ENTER}"
"25",1025,54,5,16,20,18,2,3,31,"{SHIFT}I{SPACE}would{SPACE}try{SPACE}to{SPACE}just{SPACE}look{SPACE}at{SPACE}the{SPACE}math{SPACE}problem{SPACE}without{SPACE}finding{SPACE}the{SPACE}answer{SPACE}and{SPACE}then{SPACE}see{SPACE}if{SPACE}the{SPACE}answer{SPACE}shown{SPACE}was{SPACE}correct{,}{SPACE}then{SPACE}memorized{SPACE}the{SPACE}notes{SPACE}given{SPACE}{ENTER}"
"26",1026,67,2,22,22,23,2,0,51,"none{ENTER}"
"27",1027,40,2,13,13,14,2,0,17,"{SHIFT}I{SPACE}said{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}after{SPACE}{SHIFT}I{SPACE}heard{SPACE}them{.}{ENTER}"
"28",1028,47,7,9,20,18,4,3,29,"{SHIFT}Repition{SPACE}of{SPACE}the{SPACE}notes{ENTER}"
"29",1029,46,3,17,14,15,2,1,14,"{ENTER}"
"30",1030,55,3,18,17,20,3,0,23,"{SHIFT}I{SPACE}tapped{SPACE}my{SPACE}thumb{SPACE}whenever{SPACE}{SHIFT}I{SPACE}heard{SPACE}a{SPACE}high{SPACE}beat{,}middle{SPACE}finger{SPACE}for{SPACE}middle{SPACE}beat{,}{SPACE}and{SPACE}pinky{SPACE}for{SPACE}low{SPACE}beat{SPACE}and{SPACE}tried{SPACE}to{SPACE}remember{SPACE}the{SPACE}order{SPACE}my{SPACE}fingers{SPACE}tapped{.}{ENTER}"
"31",1031,11,6,6,5,0,6,0,0,"{BACKSLASH}{ENTER}"
"32",1032,45,9,12,20,13,7,2,26,"{SHIFT}I{SPACE}just{SPACE}knew{SPACE}what{SPACE}the{SPACE}high{SPACE}and{SPACE}the{SPACE}low{SPACE}definatly{SPACE}sounded{SPACE}like{SPACE}so{SPACE}finding{SPACE}the{SPACE}medium{SPACE}wasnt{SPACE}hard{.}{SPACE}{SHIFT}I{SPACE}focused{SPACE}more{SPACE}on{SPACE}the{SPACE}sounds{SPACE}then{SPACE}on{SPACE}the{SPACE}math{SPACE}itslef{.}{SPACE}{ENTER}"
"33",1033,68,7,21,24,23,6,1,44,"{SHIFT}I{SPACE}just{SPACE}repeated{SPACE}the{SPACE}pattern{SPACE}in{SPACE}my{SPACE}head{SPACE}as{SPACE}i{SPACE}solved{SPACE}the{SPACE}problems{.}{ENTER}"
"34",1034,49,5,14,12,23,5,0,37,"{SHIFT}It{SPACE}was{SPACE}very{SPACE}difficult{SPACE}at{SPACE}first{SPACE}to{SPACE}try{SPACE}to{SPACE}remember{SPACE}the{SPACE}tones{SPACE}without{SPACE}a{SPACE}tool{SPACE}or{SPACE}strategy{,}{SPACE}but{SPACE}once{SPACE}{SHIFT}I{SPACE}started{SPACE}using{SPACE}the{SPACE}fingers{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{SPACE}as{SPACE}a{SPACE}reminder{SPACE}of{SPACE}{SHIFT}L{,}{SHIFT}M{SHIFT}{,}{SHIFT}H{SPACE}notes{SPACE}it{SPACE}was{SPACE}much{SPACE}easier{SPACE}to{SPACE}recall{SPACE}the{SPACE}patterns{.}{SPACE}{SHIFT}i{SHIFT}{SPACE}also{SPACE}started{SPACE}repeating{SPACE}the{SPACE}sequence{SPACE}mentally{SPACE}each{SPACE}time{SPACE}a{SPACE}new{SPACE}tone{SPACE}would{SPACE}play{SPACE}to{SPACE}reinforce{SPACE}what{SPACE}{SHIFT}I{SPACE}had{SPACE}already{SPACE}heard{.}{SPACE}{SHIFT}{SHIFT}{SHIFT}I{SPACE}used{SPACE}my{SPACE}pinky{SPACE}finger{SPACE}as{SPACE}low{,}{SPACE}middle{SPACE}finger{SPACE}as{SPACE}finger{SPACE}as{SPACE}{SHIFT}M{,}{SPACE}and{SPACE}thumb{SPACE}as{SPACE}{SHIFT}High{,}{SPACE}siimilar{SPACE}to{SPACE}when{SPACE}{SHIFT}I{SPACE}played{SPACE}the{SPACE}piano{.}{SPACE}{ENTER}"
"35",1035,58,3,20,20,18,2,1,41,"repeated{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}while{SPACE}solving{SPACE}the{SPACE}equations{.}{ENTER}"
"36",1036,68,2,23,24,21,1,1,55,"{SHIFT}{SHIFT}Repeating{SPACE}the{SPACE}list{SPACE}over{SPACE}in{SPACE}my{SPACE}head{SPACE}as{SPACE}each{SPACE}new{SPACE}tone{SPACE}was{SPACE}added{.}{SPACE}{SHIFT}Visualizing{SPACE}the{SPACE}tones{SPACE}on{SPACE}a{SPACE}line{SPACE}graph{SPACE}with{SPACE}three{SPACE}different{SPACE}points{UPARROW}{LEFTARROW}{.}{SPACE}{SHIFT}Listening{SPACE}for{SPACE}ascending{SPACE}and{SPACE}descending{SPACE}patterns{.}{SPACE}{SHIFT}Singing{SPACE}the{SPACE}tones{SPACE}back{SPACE}inside{SPACE}of{SPACE}my{SPACE}head{.}{ENTER}"
"37",1037,42,6,9,17,16,5,1,24,"{ENTER}"
"38",1038,50,9,13,18,19,4,5,19,"i{SPACE}would{SPACE}hold{SPACE}one{SPACE}finger{SPACE}up{SPACE}for{SPACE}low{SPACE}2{SPACE}fingers{SPACE}for{SPACE}medium{SPACE}and{SPACE}3{SPACE}for{SPACE}high{SPACE}and{SPACE}try{SPACE}to{SPACE}remeber{SPACE}the{SPACE}sequence{SPACE}{ENTER}"
"39",1039,61,7,21,21,19,6,1,37,"establish{SPACE}fingers{SPACE}for{SPACE}each{SPACE}{SHIFT}H{,}{SHIFT}{SHIFT}L{,}{SHIFT}M{SPACE}sound{SPACE}and{SPACE}try{SPACE}to{SPACE}remember{SPACE}order{SPACE}in{SPACE}which{SPACE}i{SPACE}pressed{SPACE}them{SPACE}down{SPACE}on{SPACE}the{SPACE}table{ENTER}"
"40",1040,56,4,20,20,16,2,2,42,"{SHIFT}I{SPACE}would{SPACE}hear{SPACE}the{SPACE}tone{,}{SPACE}said{SPACE}it{SPACE}in{SPACE}my{SPACE}head{,}{SPACE}do{SPACE}the{SPACE}math{SPACE}problem{SPACE}then{SPACE}repeat{SPACE}the{SPACE}sequence{SPACE}of{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"41",1041,66,3,23,20,23,0,3,38,"{ENTER}"
"42",1042,65,6,25,19,21,5,1,53,"{SHIFT}After{SPACE}hearing{SPACE}the{SPACE}noise{,}{SPACE}{SHIFT}I{SPACE}kept{SPACE}saying{SPACE}{SHIFT}{QUOTE}low{SPACE}medium{SPACE}or{SPACE}high{SHIFT}{QUOTE}{SPACE}in{SPACE}the{SPACE}correct{SPACE}order{SPACE}over{SPACE}and{SPACE}over{SPACE}in{SPACE}my{SPACE}head{SPACE}while{SPACE}completing{SPACE}the{SPACE}math{SPACE}problems{ENTER}"
"43",1043,46,2,12,18,16,2,0,8,"{SHIFT}I{SPACE}attempted{SPACE}to{SPACE}repeat{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}tones{SPACE}back{SPACE}to{SPACE}myself{SPACE}before{SPACE}solving{SPACE}each{SPACE}math{SPACE}problem{ENTER}"
"44",1044,39,4,14,16,9,2,2,18,"{SHIFT}Repeating{SPACE}the{SPACE}sequence{SPACE}of{SPACE}sounds{SPACE}for{SPACE}every{SPACE}screen{SPACE}adding{SPACE}in{SPACE}the{SPACE}next{SPACE}sound{SPACE}heard{SPACE}while{SPACE}solving{SPACE}the{SPACE}problems{.}{ENTER}"
"45",1045,28,6,8,8,12,6,0,7,"{ENTER}"
"46",1046,61,9,18,19,24,8,1,50,"{SHIFT}If{SPACE}the{SPACE}tones{SPACE}went{SPACE}in{SPACE}order{SPACE}{SHIFT}{(}low{,}medium{,}high{SPACE}or{SPACE}high{,}medium{,}low{SHIFT}{)}{SHIFT}w{SHIFT}{)}{SPACE}or{SPACE}if{SPACE}there{SPACE}was{SPACE}any{SPACE}patterns{SPACE}{SHIFT}{(}low{,}medium{,}low{SHIFT}{)}{ENTER}"
"47",1047,66,3,23,20,23,2,1,50,"{SHIFT}Tapping{SPACE}fingers{,}{SPACE}replaying{SPACE}the{SPACE}sounds{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"48",1048,49,4,16,15,18,3,1,28,"{SHIFT}I{SPACE}tried{SPACE}saying{SPACE}{SHIFT}{QUOTE}{SHIFT}{QUOTE}high{SPACE}or{SPACE}low{SPACE}after{SPACE}hearing{SPACE}the{SPACE}tone{,}{SPACE}then{SPACE}repeating{SPACE}each{SPACE}in{SPACE}my{SPACE}head{SPACE}after{SPACE}the{SPACE}math{SPACE}problems{.}{SPACE}{SHIFT}For{SPACE}example{,}{SPACE}after{SPACE}the{SPACE}third{SPACE}problem{SPACE}in{SPACE}a{SPACE}sequence{SPACE}i{'}d{SPACE}try{SPACE}saying{SPACE}high{,}{SPACE}medium{,}{SPACE}high{.}{SPACE}{SHIFT}{ENTER}"
"49",1049,58,6,22,17,19,3,3,23,"memorizing{SPACE}the{SPACE}letter{SPACE}of{SPACE}the{SPACE}tones{ENTER}"
"50",1050,62,6,18,21,23,4,2,50,"{SHIFT}I{SPACE}sang{SPACE}along{SPACE}to{SPACE}them{SPACE}in{SPACE}my{SPACE}head{SPACE}at{SPACE}first{SPACE}and{SPACE}would{SPACE}repeat{SPACE}them{SPACE}so{SPACE}that{SPACE}they{SPACE}stacked{SPACE}on{SPACE}top{SPACE}of{SPACE}each{SPACE}other{SPACE}in{SPACE}the{SPACE}right{SPACE}order{.}{SPACE}{SHIFT}If{SPACE}it{SPACE}was{SPACE}a{SPACE}long{SPACE}set{SPACE}{SHIFT}I{SPACE}would{SPACE}invision{SPACE}the{SPACE}{SHIFT}HLM{SPACE}scale{SPACE}and{SPACE}try{SPACE}to{SPACE}remember{SPACE}in{SPACE}what{SPACE}order{SPACE}they{SPACE}would{SPACE}go{SPACE}in{SPACE}{SHIFT}{)}{SHIFT}{(}like{SPACE}completing{SPACE}a{SPACE}path{SHIFT}{)}{SHIFT}{)}{ENTER}"
"51",1051,24,5,5,6,13,5,0,0,"{SHIFT}{SHIFT}For{SPACE}each{SPACE}equation{,}{SPACE}{SHIFT}I{SPACE}would{SPACE}try{SPACE}to{SPACE}remeber{SPACE}whether{SPACE}it{SPACE}was{SPACE}high{SPACE}or{SPACE}low{SPACE}or{SPACE}middle{SPACE}andkeep{SPACE}repeating{SPACE}it{SPACE}to{SPACE}myself{SPACE}til{SPACE}the{SPACE}end{ENTER}"
"52",1052,58,6,18,19,21,3,3,33,"{SHIFT}I{SPACE}would{SPACE}say{SPACE}the{SPACE}tone{SPACE}{SHIFT}{(}low{,}{SPACE}medium{,}{SPACE}or{SPACE}high{SHIFT}{)}{SHIFT}{)}{SPACE}in{SPACE}my{SPACE}head{,}{SPACE}and{SPACE}tap{SPACE}my{SPACE}fingers{SPACE}according{SPACE}to{SPACE}the{SPACE}tone{ENTER}"
"53",1053,67,7,19,24,24,4,3,44,"measuring{SPACE}tones{SPACE}on{SPACE}fingers{ENTER}"
"54",1054,63,3,21,19,23,2,1,44,"i{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}keep{SPACE}track{SPACE}of{SPACE}how{SPACE}many{SPACE}sounds{SPACE}there{SPACE}were{SPACE}and{SPACE}with{SPACE}each{SPACE}new{SPACE}sound{SPACE}i{SPACE}repeated{SPACE}the{SPACE}previous{SPACE}ones{SPACE}and{SPACE}added{SPACE}the{SPACE}new{SPACE}on{SPACE}at{SPACE}the{SPACE}end{SPACE}{.}{ENTER}"
"55",1055,44,2,11,15,18,1,1,22,"{SHIFT}At{SPACE}first{SPACE}{SHIFT}I{SPACE}used{SPACE}my{SPACE}hands{SPACE}as{SPACE}symbols{SPACE}and{SPACE}then{SPACE}{SHIFT}I{SPACE}started{SPACE}just{SPACE}remembering{SPACE}either{SPACE}{SHIFT}H{,}{SPACE}{SHIFT}M{,}{SPACE}{SHIFT}or{SPACE}{SHIFT}L{ENTER}"
"56",1056,44,5,12,17,15,3,2,27,"i{SPACE}would{SPACE}basically{SPACE}play{SPACE}the{SPACE}sounds{SPACE}back{SPACE}in{SPACE}my{SPACE}mind{SPACE}or{SPACE}make{SPACE}visualize{SPACE}clicking{SPACE}the{SPACE}boxes{SPACE}in{SPACE}certain{SPACE}orders{SPACE}would{SPACE}also{SPACE}take{SPACE}advantage{SPACE}of{SPACE}the{SPACE}time{SPACE}when{SPACE}picking{SPACE}true{SPACE}or{SPACE}false{SPACE}to{SPACE}think{SPACE}about{SPACE}previous{SPACE}sounds{SPACE}played{ENTER}"
"57",1057,33,1,12,14,7,1,0,7,"remembered{SPACE}the{SPACE}first{SPACE}and{SPACE}last{SPACE}tones{ENTER}"
"58",1058,35,4,14,9,12,4,0,10,"{SHIFT}I{SPACE}tried{SPACE}to{SPACE}member{SPACE}if{SPACE}it{SPACE}was{SPACE}high{SPACE}or{SPACE}low{SPACE}when{SPACE}ever{.}{SPACE}{SHIFT}I{SPACE}also{SPACE}tried{SPACE}to{SPACE}remember{SPACE}the{SPACE}pattern{ENTER}"
"59",1300,63,13,23,20,20,4,9,38,"assigning{SPACE}tones{SPACE}to{SPACE}my{SPACE}fingers{SPACE}and{SPACE}memorizing{SPACE}the{SPACE}tapping{SPACE}patterns{ENTER}"
"60",1301,65,2,18,22,25,2,0,46,"{SHIFT}{SHIFT}{SHIFT}{SHIFT}{SHIFT}{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}names{SPACE}of{SPACE}the{SPACE}tones{SPACE}{SHIFT}{(}h{SHIFT}{SHIFT}{SHIFT}{SHIFT}s{SPACE}{-}{SPACE}high{,}{SPACE}low{,}{SPACE}medium{SPACE}{-}{SPACE}and{SPACE}strung{SPACE}them{SPACE}together{SPACE}as{SPACE}{SHIFT}I{SPACE}completed{SPACE}the{SPACE}math{SPACE}exercises{.}{SPACE}{SHIFT}{SHIFT}{SHIFT}The{SPACE}names{SPACE}of{SPACE}the{SPACE}tones{SPACE}were{SPACE}easier{SPACE}to{SPACE}remember{SPACE}than{SPACE}singing{SPACE}them{SPACE}back{SPACE}in{SPACE}my{SPACE}head{,}{SPACE}for{SPACE}example{SHIFT}{.}{SPACE}{SHIFT}That{SPACE}was{SPACE}a{SPACE}strategy{SPACE}{SHIFT}I{SPACE}used{SPACE}first{,}{SPACE}but{SPACE}since{SPACE}the{SPACE}tones{SPACE}{SHIFT}don{'}t{SPACE}make{SPACE}tonal{SPACE}sense{,}{SPACE}and{SPACE}are{SPACE}so{SPACE}disjunct{SPACE}{SHIFT}{(}in{SPACE}space{SPACE}and{SPACE}time{SHIFT}{SHIFT}{)}{,}{SPACE}{SHIFT}I{SPACE}made{SPACE}less{SPACE}mistake"
"61",1302,57,10,23,17,17,9,1,37,"{ENTER}"
"62",1303,71,1,23,23,25,1,0,63,"{CAPSLOCK}I{CAPSLOCK}{SPACE}used{SPACE}three{SPACE}fingers{SPACE}after{SPACE}each{SPACE}math{SPACE}problem{SPACE}and{SPACE}if{SPACE}the{SPACE}tone{SPACE}was{SPACE}high{,}medium{,}or{SPACE}low{SPACE}i{SPACE}would{SPACE}place{SPACE}my{SPACE}fingers{SPACE}according{SPACE}to{SPACE}the{SPACE}tone{.}{SPACE}{CAPSLOCK}S{CAPSLOCK}o{SPACE}if{SPACE}my{SPACE}first{SPACE}tone{SPACE}is{SPACE}high{,}{SPACE}my{SPACE}first{SPACE}finger{SPACE}will{SPACE}be{SPACE}the{SPACE}place{SPACE}at{SPACE}the{SPACE}highest{SPACE}part{SPACE}on{SPACE}the{SPACE}table{,}{SPACE}then{SPACE}if{SPACE}my{SPACE}second{SPACE}tone{SPACE}is{SPACE}low{,}{SPACE}my{SPACE}second{SPACE}finger{SPACE}will{SPACE}be{SPACE}the{SPACE}lowest{SPACE}height{.}{SPACE}{CAPSLOCK}F{CAPSLOCK}or{SPACE}the{SPACE}repeat{SPACE}tones{,}{SPACE}i{SPACE}would{SPACE}tap{SPACE}my{SPACE}fingers{ENTER}"
"63",1304,63,7,20,23,20,6,1,44,"{SHIFT}I{SPACE}used{SPACE}the{SPACE}fingers{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{SPACE}as{SPACE}if{SPACE}i{SPACE}was{SPACE}playing{SPACE}three{SPACE}different{SPACE}notes{SPACE}on{SPACE}a{SPACE}piano{SPACE}to{SPACE}help{SPACE}remember{SPACE}the{SPACE}patterns{SPACE}and{SPACE}tones{.}{ENTER}"
"64",1305,60,6,19,22,19,4,2,50,"{ENTER}"
"65",1306,44,2,11,16,17,2,0,18,"i{SPACE}would{SPACE}repaet{SPACE}the{SPACE}sounds{SPACE}in{SPACE}my{SPACE}head{SPACE}as{SPACE}i{SPACE}would{SPACE}say{SPACE}them{SPACE}as{SPACE}a{SPACE}new{SPACE}one{SPACE}would{SPACE}come{SPACE}so{SPACE}i{SPACE}would{SPACE}always{SPACE}be{SPACE}repeating{SPACE}also{SPACE}counting{SPACE}them{SPACE}so{SPACE}i{SPACE}dont{SPACE}forget{SPACE}how{SPACE}many{SPACE}notes{SPACE}were{SPACE}played{ENTER}"
"66",1307,55,1,22,22,11,1,0,37,"{SHIFT}After{SPACE}every{SPACE}problem{SPACE}{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}sequence{SPACE}of{SPACE}the{SPACE}tone{SPACE}that{SPACE}was{SPACE}played{SPACE}and{SPACE}tried{SPACE}to{SPACE}repeat{SPACE}it{SPACE}before{SPACE}solving{SPACE}each{SPACE}problem{SPACE}so{SPACE}that{SPACE}{SHIFT}I{SPACE}can{SPACE}continue{SPACE}to{SPACE}remember{SPACE}the{SPACE}order{ENTER}"
"67",1308,75,4,25,25,25,2,2,75,"{SHIFT}I{SPACE}used{SPACE}three{SPACE}fingers{SPACE}of{SPACE}my{SPACE}left{SPACE}hand{SPACE}to{SPACE}represent{SPACE}each{SPACE}pitch{SPACE}and{SPACE}{SHIFT}I{SPACE}would{SPACE}tap{SPACE}out{SPACE}the{SPACE}sequence{SPACE}as{SPACE}well{SPACE}as{SPACE}saying{SPACE}it{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"68",1309,72,0,22,25,25,0,0,70,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}left{SPACE}pinky{,}{SPACE}middle{SPACE}finger{,}{SPACE}and{SPACE}thumb{SPACE}to{SPACE}designate{SPACE}the{SPACE}{SHIFT}{SHIFT}low{,}{SPACE}middle{,}{SPACE}and{SPACE}high{SPACE}tones{SPACE}respectively{.}{SPACE}{SHIFT}I{SPACE}then{SPACE}{SHIFT}would{SPACE}repeat{SPACE}the{SPACE}pattern{SPACE}one{SPACE}time{SPACE}before{SPACE}each{SPACE}math{SPACE}problem{.}{SPACE}{ENTER}"
