subjectNo,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,beatScore,melodicScore,ravensScoreA,ravensScoreB,ravensScoreC,ravenAge,ravenSex,ravenHand,ravenHearing,ravenVision,V1,nsTotalScore,nsAttempted,nsTotalTime,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanscore,symSspanTotal,symSspanPartialScore,symSspanPartialScoreBlock1,symSspanPartialScoreBlock2,symSspanPartialScoreBlock3,symSspanAbsoluteScore,symSymmetryCorrect,MathErrorTotal,OspanScore,OspanTotal,SpeedErrorTotal,AccErrorTotal,OspanPartialScore,OspanPartialBlock1,OspanPartialBlock2,OspanPartialBlock3,OspanAbsoluteScore,MathCorrect,tSpanPartialScore,tsMathErrorTotal,tspanPartialBlock1,tspanPartialBlock2,tspanPartialBlock3,tsAccErrorTotal,tsSpeedErrorTotal,tsAbsoluteScore,tsStrats
510,50,56,40,39,41,108,6,5,1,5,5,7,6,2,7,7,5,7,4,7,4,8,8,2,4,1,2,4,1,3,1,6,Bb Clarinet,19,FEMALE,1,,7,3,6,6,5,6,7,5,5,6,6,5,7,6,7,7,6,6,7,7,6,6,3,6,5,5,7,7,6,5,6,3,7,7,7,6,7,7,15,10,10,9,10,19,female,right,No,Normal,82,7,11,5,2,2,0,,,26,11,6,9,17,46,0,,,0,0,50,15,17,18,28,80,48,2,15,18,15,2,0,23,No Data Collected
511,49,54,35,45,37,107,6,5,2,5,4,5,5,1,7,5,7,7,1,6,5,4,8,2,1,1,2,1,1,2,1,1,flute,18,FEMALE,1,,7,2,6,5,7,7,6,6,3,6,7,5,6,6,7,6,5,6,7,7,6,5,1,5,4,6,6,7,7,7,7,5,6,6,6,6,6,7,16,9,5,6,5,18,female,left,No,Corrected to Normal,83,7,15,4,3,2,1,,,21,6,8,7,10,45,5,,,1,4,74,25,24,25,68,75,68,4,20,25,23,2,2,61,No Data Collected
512,36,54,34,31,32,97,6,6,3,3,3,3,4,2,6,5,6,5,3,7,6,1,5,2,2,2,1,1,1,2,2,2,Guitar,18,FEMALE,1,,7,1,5,6,5,6,3,2,1,7,6,6,6,6,7,6,7,3,7,7,5,5,1,2,7,3,7,7,6,4,3,1,2,7,7,3,7,6,13,4,9,9,9,18,female,right,No,Normal,84,9,14,5,5,3,2,,,28,12,10,6,20,43,4,,,1,3,67,24,18,25,57,77,58,8,18,18,22,5,3,43,No Data Collected
513,45,60,43,46,38,115,7,7,4,1,4,7,7,4,4,7,7,7,1,7,5,6,6,2,2,1,1,1,1,2,2,1,Flute,18,FEMALE,1,,7,4,5,5,1,7,4,6,6,7,7,7,7,6,7,7,7,5,7,7,7,7,3,7,5,7,7,7,7,7,4,7,6,5,7,6,7,7,16,10,8,5,6,18,female,right,No,Normal,85,6,15,2,1,0,1,,,39,12,13,14,30,47,5,,,0,5,66,25,18,23,52,76,73,4,23,25,25,4,0,69,No Data Collected
514,46,48,34,31,34,88,5,5,1,4,5,6,6,2,6,6,5,2,4,6,2,9,7,2,2,1,1,1,1,2,2,1,Tuba,18,MALE,1,,6,4,6,5,5,5,6,6,3,5,7,4,5,4,7,6,5,5,2,6,6,6,2,6,6,4,7,6,3,1,6,4,6,4,6,5,6,7,14,9,7,8,7,18,male,right,No,Corrected to Normal,86,9,15,3,0,0,0,,,38,12,12,14,33,47,10,,,2,8,58,14,20,24,38,69,63,6,16,22,25,5,1,56,No Data Collected
515,55,62,40,45,42,114,7,7,4,2,7,5,7,4,7,7,7,6,7,7,5,8,8,2,4,5,2,4,5,2,4,5,Saxophone,18,MALE,1,,7,4,7,7,5,7,6,7,5,7,7,7,7,7,7,7,6,7,7,7,7,4,5,7,3,7,7,7,7,6,7,4,7,7,7,7,7,7,16,9,9,9,12,18,male,right,No,Normal,87,9,12,5,1,0,1,,,35,10,14,11,32,47,2,,,0,2,75,25,25,25,75,79,62,5,20,23,19,3,2,43,No Data Collected
516,49,59,34,37,37,104,7,6,6,6,6,3,5,5,7,5,7,7,2,7,5,7,7,2,2,1,1,1,1,2,2,1,Trumpet,18,FEMALE,1,,7,3,6,6,6,7,7,5,2,7,6,7,7,6,7,7,6,6,7,7,6,6,2,5,1,6,6,7,3,7,6,2,5,7,6,6,6,7,13,9,9,8,7,18,female,right,No,Normal,88,10,15,5,6,2,4,,,12,5,3,4,9,42,4,,,1,3,59,22,15,22,37,77,64,5,20,20,24,4,1,47,No Data Collected
517,39,48,27,30,36,84,6,4,1,7,4,2,3,2,2,4,4,7,3,6,5,7,5,2,2,1,1,1,1,3,1,5,voicenvoice,18,MAN,1,na,5,2,5,6,3,7,1,7,3,7,5,6,5,3,7,7,3,5,6,6,3,4,2,4,2,3,6,7,2,6,5,1,7,6,6,6,5,6,12,10,10,8,9,18,male,right,No,Normal,89,13,15,4,1,1,0,,,36,11,13,12,28,46,2,,,0,2,75,25,25,25,75,76,68,1,23,20,25,1,0,55,No Data Collected
518,54,46,38,40,38,104,7,6,4,7,6,6,6,4,7,6,7,7,7,7,1,6,2,2,5,1,2,5,1,2,5,1,Voice,21,FEMALE,0,BupropiumXanax,7,4,7,6,5,7,6,5,7,4,6,3,6,4,6,6,5,6,6,6,7,5,5,7,2,6,7,6,6,6,7,2,7,7,6,5,6,7,10,8,8,7,7,21,female,right,No,Corrected to Normal,90,5,15,4,2,1,1,,,34,12,14,8,28,46,2,,,0,2,59,19,23,17,42,79,65,2,18,23,24,2,0,39,No Data Collected
519,44,62,35,46,39,109,6,4,7,2,4,5,4,6,7,5,4,6,2,7,5,8,7,2,2,1,1,1,1,2,2,1,voice,19,FEMALE,1,,7,2,5,5,4,6,7,5,3,7,7,7,7,6,7,7,7,7,7,7,6,4,2,6,3,6,7,7,7,7,7,5,5,7,6,7,7,7,11,11,4,1,3,0,female,right,No,Corrected to Normal,91,7,15,5,1,1,0,,,32,9,12,11,23,47,4,,,2,2,62,21,20,21,55,77,66,2,17,25,24,1,1,52,No Data Collected
520,55,55,32,38,39,106,5,6,5,4,4,7,7,6,7,7,6,5,5,7,6,8,6,1,1,1,1,1,1,3,1,2,Guitar,18,MALE,1,,7,5,5,7,6,7,7,7,4,5,6,5,7,6,6,7,6,7,6,7,3,5,1,3,7,4,7,7,4,5,6,5,7,6,6,6,7,7,12,6,9,9,6,18,male,,No,Normal,92,8,15,3,2,2,0,,,30,13,11,6,19,46,3,,,1,2,68,22,25,21,55,78,67,7,21,22,24,5,2,48,No Data Collected
521,44,58,32,28,38,92,7,5,1,5,1,6,6,6,5,6,5,6,1,7,4,4,4,1,1,1,1,1,1,2,2,2,Alto Saxophone,18,MALE,1,nna,7,4,3,6,4,6,6,2,6,6,7,7,6,6,7,7,7,5,7,6,2,5,1,6,5,2,7,5,6,1,5,2,7,7,6,5,6,7,16,10,9,8,10,18,male,left,No,Corrected to Normal,93,8,13,5,0,0,0,,,33,12,12,9,25,48,8,,,1,7,62,22,23,17,40,72,60,6,20,19,21,5,1,22,No Data Collected
522,45,42,30,20,39,74,7,5,2,2,3,1,5,6,7,6,6,7,1,7,4,8,6,2,3,1,2,3,1,2,3,1,Flute,19,MALE,1,,6,3,5,4,5,7,5,7,3,6,5,6,6,5,7,3,1,3,7,6,3,5,2,4,3,2,5,3,1,1,6,2,7,7,6,5,7,7,14,8,11,11,11,19,male,right,No,Corrected to Normal,94,13,15,5,0,0,0,,,41,13,14,14,38,47,3,,,1,2,68,22,22,24,51,78,69,3,25,19,25,2,1,63,No Data Collected
523,44,56,40,43,34,107,7,7,1,2,5,3,7,7,4,6,1,1,1,1,5,6,8,2,2,3,2,2,1,2,2,7,Voice,18,MALE,1,,7,2,6,6,3,7,4,6,3,6,7,6,6,6,6,6,7,6,7,7,7,6,6,5,2,5,7,7,6,7,5,6,6,5,6,6,6,5,13,9,8,9,6,18,male,right,No,Corrected to Normal,95,12,15,5,4,4,0,,,31,7,12,12,20,43,8,,,3,5,64,20,22,22,49,72,61,5,18,20,23,5,0,43,No Data Collected
524,37,49,35,39,30,94,6,4,4,4,5,5,4,4,3,5,6,6,2,5,7,8,6,2,2,1,1,1,1,3,1,5,Voice,19,Male,1,,5,2,6,3,2,6,5,6,2,6,6,5,6,5,6,6,6,3,6,7,6,4,3,6,3,5,7,6,7,6,6,2,5,6,4,3,6,6,10,10,4,1,5,19,male,right,No,Corrected to Normal,96,8,14,5,7,3,4,,,17,4,6,7,11,35,5,,,1,4,59,23,18,18,43,76,50,2,10,19,21,2,0,26,No Data Collected
525,57,62,41,45,40,112,7,5,5,6,4,5,5,5,4,6,4,7,3,7,1,7,6,2,5,1,2,3,1,2,3,1,Cello,17,FEMENINE,1,,7,5,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,6,7,7,6,6,7,6,2,6,7,7,5,7,7,6,6,7,7,6,7,7,13,4,10,9,9,17,female,right,No,Corrected to Normal,97,7,12,5,3,3,0,,,39,13,12,14,32,45,7,,,4,3,51,19,14,18,38,74,68,3,20,24,24,2,1,49,No Data Collected
526,51,49,34,36,37,99,6,6,1,4,4,5,6,5,6,6,6,6,3,4,6,8,6,2,2,1,2,2,1,2,2,1,clarinet,18,FEMALE,1,,7,5,6,6,4,6,6,7,4,5,7,6,6,5,7,6,5,2,6,7,6,6,1,6,2,5,7,5,6,3,6,4,6,7,6,5,6,7,12,8,8,8,9,18,female,right,No,Normal,98,10,15,4,2,2,0,,,35,12,11,12,22,46,7,,,0,7,60,20,20,20,42,74,57,11,17,18,22,11,0,19,No Data Collected
527,50,53,35,31,37,95,7,4,7,3,5,2,4,7,5,5,2,6,1,7,3,5,5,1,1,1,1,1,1,2,2,1,Clarinet,19,FEMALE,1,,7,4,5,7,6,5,3,7,6,7,7,5,6,5,5,6,6,6,7,7,5,6,2,5,3,5,6,4,4,1,6,5,5,6,7,6,6,7,13,8,10,8,6,19,female,right,No,Corrected to Normal,99,5,15,4,1,0,1,,,28,8,12,8,19,47,3,,,0,3,59,18,17,24,43,78,49,9,17,10,22,8,1,29,No Data Collected
528,46,53,35,33,35,97,7,6,3,7,5,7,5,5,6,5,5,5,5,4,5,5,2,2,2,1,1,1,1,3,1,2,Voice,20,MALE,1,,7,4,6,6,3,7,6,4,3,6,7,5,5,5,6,6,7,6,7,6,4,6,2,7,3,6,7,6,3,5,3,3,6,6,6,5,6,6,8,9,6,9,7,20,male,left,No,Normal,100,13,15,5,4,0,4,,,40,14,12,14,33,42,6,,,3,3,59,17,20,22,45,75,64,3,23,18,23,2,1,44,No Data Collected
529,52,55,30,32,36,97,6,6,2,1,4,5,7,4,4,6,7,5,7,6,9,7,2,1,1,1,1,1,1,1,1,1,drums,21,MALE,1,,7,4,7,6,6,7,5,6,4,6,7,5,6,6,7,6,6,6,6,6,6,5,1,2,4,5,6,6,5,3,5,2,6,6,7,4,6,7,14,10,8,10,10,21,male,right,No,Normal,101,10,12,5,0,0,0,,,31,13,12,6,24,47,1,,,0,1,70,22,23,25,61,80,57,8,18,17,22,6,2,28,No Data Collected
530,36,56,38,29,34,95,7,4,4,4,4,4,5,4,5,3,6,6,3,5,3,2,6,2,2,1,1,1,1,2,2,1,PERCUSSION,18,MALE,1,,6,2,4,6,5,5,3,3,2,5,7,6,6,6,7,6,7,6,7,6,6,5,1,6,7,5,7,6,2,2,5,2,7,6,6,5,5,5,16,9,10,10,12,18,male,right,No,Normal,102,12,15,5,4,3,1,,,32,11,9,12,21,44,5,,,1,4,51,17,20,14,34,76,69,2,21,23,25,2,0,56,No Data Collected
531,36,49,36,23,24,79,6,5,1,4,3,5,6,1,6,7,7,6,6,6,4,4,5,2,2,1,1,1,1,2,2,1,Percussion,19,MALE,1,,6,5,6,2,1,2,5,7,2,7,7,5,6,3,7,5,3,6,6,7,6,6,1,6,4,3,5,5,5,2,2,1,4,2,2,4,5,7,16,6,6,8,7,19,male,right,No,Normal,103,6,15,1,3,1,2,,,37,11,13,13,28,45,7,,,2,5,65,20,22,23,54,72,70,7,23,22,25,5,2,66,No Data Collected
532,49,59,38,45,38,113,7,4,3,6,4,6,5,7,5,4,5,7,2,7,3,6,3,2,3,1,2,3,1,3,1,6,voice,20,FEMALE,0,antidepressantantianxiety,7,6,7,6,3,6,6,3,5,7,6,7,7,6,6,7,7,6,6,7,7,4,3,7,4,6,7,7,7,7,6,5,7,7,6,6,6,6,16,10,2,1,2,20,female,right,No,I forgot my glasses.,104,7,15,5,0,0,0,,,22,6,9,7,11,48,6,,,0,6,61,19,25,17,50,75,47,5,12,13,22,5,0,22,No Data Collected
533,48,49,32,29,36,86,6,5,2,2,7,2,5,5,6,4,7,5,5,7,6,6,6,2,2,1,2,2,1,2,2,1,piano,19,male,1,na,6,1,5,7,7,6,7,7,2,6,6,6,4,6,6,5,5,5,6,7,6,6,3,1,3,2,5,5,5,2,5,5,6,7,6,5,5,7,13,10,11,12,11,19,male,right,No,Corrected to Normal,105,12,15,5,1,1,0,,,38,14,12,12,36,47,8,,,5,3,70,24,23,23,54,71,64,9,20,20,24,5,4,51,No Data Collected
534,37,46,25,30,30,81,6,4,3,4,4,2,4,6,6,5,6,6,2,6,6,6,6,2,1,1,2,1,1,2,1,1,voice,18,FEMALE,1,,6,2,6,5,2,6,3,5,2,5,5,5,5,6,6,5,6,3,5,6,3,2,2,4,3,4,6,7,3,3,5,2,2,6,6,4,6,6,12,8,12,11,10,18,female,right,No,Normal,106,8,10,5,0,0,0,,,39,11,14,14,33,47,1,,,0,1,72,23,25,24,62,80,63,7,19,22,22,2,5,42,No Data Collected
535,55,56,29,38,39,98,6,5,3,5,7,6,7,6,7,6,7,6,2,7,1,3,6,2,2,1,2,2,1,3,1,5,Voice,18,FEMALE,1,,6,5,7,7,5,7,7,5,6,6,6,6,6,6,7,7,6,6,6,7,6,2,2,4,2,2,6,6,7,5,7,5,6,7,7,5,7,7,14,11,7,8,6,18,female,right,No,Corrected to Normal,107,9,15,5,1,1,0,,,21,8,5,8,13,47,0,,,0,0,52,15,14,23,35,81,44,3,17,12,15,3,0,18,No Data Collected
536,46,59,39,36,39,99,4,5,5,3,3,5,5,2,6,6,6,5,5,5,1,2,3,2,4,1,2,4,1,3,1,3,voice,20,FEMALE,1,na,6,3,6,6,2,6,6,5,6,7,7,6,6,6,7,7,7,6,6,6,7,4,3,7,6,6,7,6,2,3,6,6,7,7,6,6,6,7,15,10,10,10,7,20,female,right,No,Normal,108,9,13,5,3,2,1,,,35,12,13,10,28,45,5,,,2,3,63,25,20,18,55,76,69,5,22,22,25,4,1,49,No Data Collected
537,56,57,38,44,41,109,7,6,2,5,6,5,7,6,7,7,7,5,1,7,3,6,6,1,1,1,1,1,1,3,1,5,Piano,18,FEMALE,1,,7,5,7,6,7,7,6,5,6,6,5,7,6,7,7,7,6,6,7,7,7,5,2,7,3,5,7,6,6,6,7,7,7,7,7,6,7,7,12,11,9,7,6,18,female,right,Yes,I forgot my glasses.,109,5,11,5,10,10,0,,,15,6,3,6,0,35,1,,,0,1,52,21,15,16,34,80,50,7,19,16,15,6,1,32,No Data Collected
538,60,52,29,25,42,89,6,5,1,7,4,7,5,4,6,6,6,5,5,6,8,7,5,1,1,1,1,1,1,1,1,1,pianonpianonpiano,22,male,1,,7,6,7,7,7,7,7,7,5,6,7,3,5,6,7,6,6,6,6,6,1,7,1,6,2,2,2,7,2,4,5,3,7,7,7,7,7,7,15,7,7,6,7,22,male,right,No,Normal,110,4,15,3,2,1,1,,,28,11,10,7,22,45,22,,,14,8,45,18,16,11,21,56,52,5,14,19,19,4,1,17,No Data Collected
539,46,45,34,36,31,95,4,6,1,4,4,7,7,6,4,7,5,5,2,6,4,6,8,2,4,2,2,4,2,2,4,2,voicen,19,FEMALE,1,,7,5,5,5,4,5,4,5,6,5,5,3,4,3,7,7,6,5,4,7,7,5,3,6,2,5,5,7,3,6,6,4,5,4,4,6,5,7,10,9,7,6,5,19,female,right,No,Corrected to Normal,111,6,15,1,3,2,1,,,37,13,13,11,24,45,4,,,0,4,72,25,24,23,64,76,66,10,17,24,25,7,3,57,No Data Collected
540,55,53,34,36,32,100,5,6,1,6,5,6,7,2,6,7,7,3,7,6,4,8,8,1,1,1,1,1,1,3,1,3,Bass Guitar,18,MALE,1,,6,7,4,6,7,7,6,5,7,6,6,6,6,4,7,6,6,6,6,2,6,6,2,6,6,6,6,5,5,6,6,2,6,6,6,2,6,6,15,6,8,7,5,18,male,right,No,Normal,112,10,15,3,2,2,0,,,40,12,14,14,37,46,6,,,1,5,49,21,16,12,33,75,67,3,21,23,23,2,1,48,No Data Collected
541,54,55,33,13,40,79,5,5,2,5,5,7,6,1,5,7,6,2,2,4,9,5,2,2,2,1,1,1,1,2,2,1,Saxophone,5,MALE,1,,7,4,7,7,7,7,7,5,3,6,6,6,6,6,7,6,6,6,6,6,6,5,2,6,2,1,5,1,2,1,2,1,7,7,7,5,7,7,12,7,7,9,7,18,male,right,No,Normal,113,8,15,3,6,3,3,,,37,14,11,12,30,41,1,,,0,1,73,25,23,25,69,78,57,1,19,19,19,0,1,31,No Data Collected
542,53,51,41,34,37,98,5,6,3,5,3,2,6,3,5,7,7,6,7,7,4,5,3,2,2,1,2,2,1,2,2,1,guitar,19,MALE,1,,6,5,6,6,7,6,6,7,4,6,5,5,6,5,7,7,4,6,7,7,7,6,5,5,4,4,7,2,6,6,5,4,7,6,6,4,7,7,16,11,9,6,8,19,male,right,No,Normal,114,11,15,5,3,1,2,,,39,14,13,12,28,45,1,,,0,1,71,21,25,25,63,80,74,4,24,25,25,3,1,68,No Data Collected
543,54,61,34,41,41,111,7,6,7,7,7,6,6,2,2,7,7,7,1,7,3,8,2,1,1,1,1,1,1,2,2,2,Violinn,18,FEMALE,1,,7,7,7,5,6,7,6,3,6,6,7,7,6,7,7,7,7,7,7,6,5,4,1,7,4,7,7,6,6,7,6,2,7,7,7,7,6,7,10,10,9,8,7,18,female,right,No,Corrected to Normal,115,11,15,5,0,0,0,,,26,8,12,6,13,47,5,,,0,5,67,21,22,24,42,76,30,6,10,11,9,3,3,7,No Data Collected
544,51,49,38,32,37,94,5,7,4,3,5,5,6,5,5,5,7,4,4,3,5,5,5,2,2,2,1,1,1,2,2,2,Sax,19,MALE,1,,7,2,6,7,5,6,5,7,6,6,6,5,4,7,6,5,4,6,7,7,6,5,2,6,5,7,5,5,4,4,4,3,6,6,7,5,6,7,13,9,8,7,9,19,male,left,Yes,Corrected to Normal,116,8,10,5,6,5,1,,,25,11,7,7,16,41,6,,,2,4,67,19,23,25,55,75,52,1,14,21,17,1,0,30,No Data Collected
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,10,10,11,18,female,right,Yes,I forgot my glasses.,117,8,10,5,2,1,1,,,39,12,13,14,30,46,6,,,1,5,70,25,22,23,57,75,65,8,23,21,21,7,1,51,No Data Collected
546,44,53,30,26,41,89,6,5,6,4,3,4,4,1,7,7,3,4,2,7,3,8,3,1,1,1,1,1,1,1,1,1,Bassoon,18,FEMALE,1,,5,4,6,6,2,7,6,6,2,5,7,5,6,6,6,5,7,6,5,7,4,5,2,4,3,3,7,2,5,4,3,2,7,7,7,6,7,7,8,9,9,8,4,18,female,right,No,Corrected to Normal,118,9,15,4,17,17,0,,,7,3,3,1,0,31,6,,,1,5,37,15,18,4,22,75,24,6,10,7,7,4,2,4,No Data Collected
547,50,53,44,41,35,108,6,7,3,3,5,5,7,4,4,7,5,4,3,7,3,2,5,2,3,1,2,3,1,2,3,1,Euphoniumn,18,MALE,1,,5,6,5,5,5,6,6,6,6,6,5,5,6,6,6,7,7,5,6,6,6,6,7,6,7,5,7,7,6,6,6,4,7,4,6,5,6,7,14,7,9,8,6,18,male,right,No,Corrected to Normal,119,11,15,4,1,1,0,,,32,13,10,9,24,47,10,,,4,6,16,5,10,1,8,69,43,13,16,8,19,11,2,21,No Data Collected
548,46,44,34,29,31,85,6,4,6,6,5,5,4,6,6,5,6,7,5,7,4,6,8,2,3,1,2,3,1,2,3,1,Voice,24,FEMALE,1,,5,2,5,7,4,7,6,4,6,6,5,5,4,5,6,5,4,4,7,7,7,2,3,5,3,4,4,5,5,4,4,3,5,6,7,4,5,4,15,10,10,8,5,24,female,right,No,Normal,120,6,15,5,2,1,1,,,26,8,13,5,16,46,8,,,2,6,53,19,14,20,31,70,61,9,19,17,25,8,1,51,No Data Collected
