"AccErrorTotal:Mean, SpeedErrorTotal:Mean, MathErrorTotal:Mean, OspanPartialScore:Mean, OspanAbsoluteScore:Mean, OspanPartialScoreBlock1:Mean, OspanPartialScoreBlock2:Mean, OspanPartialScoreBlock3:Mean by Subject",,,,,,,,
Subject,Mean AccErrorTotal,Mean MathErrorTotal,Mean OspanAbsoluteScore,Mean OspanPartialScore,Mean OspanPartialScoreBlock1,Mean OspanPartialScoreBlock2,Mean OspanPartialScoreBlock3,Mean SpeedErrorTotal
552,1,2,61,71,25,24,22,1
553,1,3,34,55,17,18,20,2
554,0,0,56,64,19,20,25,0
555,4,4,33,59,19,21,19,0
556,7,10,15,43,11,13,19,3
700,3,4,50,65,20,25,20,1
701,3,5,50,66,22,19,25,2
702,5,5,56,66,22,22,22,0
703,7,10,61,69,22,22,25,3
704,5,5,46,63,19,25,19,0
705,7,10,39,53,17,16,20,3
706,4,5,51,63,17,22,24,1
707,2,3,45,62,18,21,23,1
708,8,9,23,50,15,17,18,1
709,3,4,50,61,25,21,15,1
710,5,7,4,35,12,14,9,2
711,4,4,29,49,13,16,20,0
712,4,8,30,57,17,16,24,4
713,4,4,40,59,15,19,25,0
714,5,5,50,57,13,23,21,0
715,5,5,75,75,25,25,25,0
716,3,5,54,66,24,21,21,2
717,4,5,49,61,25,18,18,1
718,2,4,38,55,19,19,17,2
719,3,3,50,68,21,22,25,0
720,2,5,37,63,20,21,22,3
721,4,6,41,60,19,20,21,2
722,6,9,61,69,22,22,25,3
723,4,6,47,61,16,20,25,2
724,5,6,43,62,20,23,19,1
725,1,4,62,67,22,25,20,3
726,3,3,33,58,16,20,22,0
727,4,6,58,69,22,22,25,2
728,2,3,50,63,17,21,25,1
729,3,4,68,74,25,25,24,1
730,6,9,32,56,17,17,22,3
731,6,7,42,61,19,22,20,1
732,2,3,55,71,24,22,25,1
734,6,7,24,46,16,18,12,1
736,17,18,30,55,18,13,24,1
737,8,9,3,22,12,4,6,1
738,10,12,24,48,18,12,18,2
739,4,7,57,67,20,25,22,3
740,3,3,62,71,21,25,25,0
741,4,5,57,70,23,25,22,1
742,4,4,62,72,24,25,23,0
900,4,5,53,64,24,17,23,1
901,5,6,21,40,15,20,5,1
902,4,6,7,38,9,18,11,2
903,2,3,57,69,23,24,22,1
904,7,9,6,31,8,11,12,2
905,6,7,24,46,15,18,13,1
906,7,7,15,42,14,12,16,0
907,2,4,61,71,24,22,25,2
908,5,5,47,57,17,16,24,0
909,7,9,37,60,15,22,23,2
910,3,3,11,45,16,17,12,0
911,5,6,20,39,8,17,14,1
912,1,3,7,20,9,5,6,2
913,3,7,0,22,5,8,9,4
914,3,3,22,47,17,14,16,0
915,6,6,19,53,16,18,19,0
916,4,5,21,52,18,19,15,1
917,0,1,28,56,19,20,17,1
918,2,4,9,36,17,8,11,2
919,2,3,15,41,18,14,9,1
920,0,1,45,65,23,23,19,1
921,3,3,35,53,17,11,25,0
922,2,9,37,58,20,21,17,7
923,5,8,23,51,15,20,16,3
924,3,4,44,64,21,21,22,1
925,3,7,6,37,12,11,14,4
926,5,11,32,53,16,19,18,6
927,1,2,14,37,16,9,12,1
928,5,5,38,60,24,20,16,0
929,2,4,38,61,22,21,18,2
930,4,8,43,58,13,25,20,4
931,23,24,17,43,15,12,16,1
932,7,9,17,36,10,17,9,2
934,1,1,6,23,9,7,7,0
935,0,2,28,54,18,20,16,2
936,6,7,12,37,8,13,16,1
937,2,2,29,62,23,18,21,0
938,6,7,3,34,10,9,15,1
939,5,5,57,64,25,16,23,0
940,2,3,19,40,14,10,16,1
941,3,3,10,36,10,15,11,0
942,3,3,13,33,11,9,13,0
943,3,3,21,48,15,11,22,0
944,7,8,45,66,24,22,20,1
945,4,7,28,44,8,17,19,3
946,11,12,8,29,11,5,13,1
947,5,6,10,46,7,19,20,1
948,6,9,38,63,22,19,22,3
949,2,3,41,58,15,21,22,1
950,3,4,4,21,11,5,5,1
951,5,5,16,47,18,12,17,0
952,3,5,40,63,20,24,19,2
953,8,8,22,41,8,15,18,0
954,5,5,0,16,5,5,6,0
955,9,10,0,16,13,1,2,1
956,3,7,10,31,10,9,12,4
957,3,3,16,45,12,20,13,0
958,5,7,18,29,10,7,12,2
959,3,5,39,62,16,23,23,2
960,1,1,27,51,17,20,14,0
961,5,6,0,23,8,7,8,1
962,1,2,12,30,13,12,5,1
963,3,4,32,59,21,20,18,1
964,4,5,31,52,18,14,20,1
965,3,4,0,34,9,13,12,1
966,1,1,40,56,17,22,17,0
976,6,10,0,34,14,7,13,4
977,2,2,51,68,21,22,25,0
978,2,2,23,52,14,17,21,0
979,3,5,20,42,13,15,14,2
980,3,3,0,0,0,0,0,0
981,3,6,15,49,18,19,12,3
982,2,5,42,66,22,21,23,3
983,1,2,32,57,20,15,22,1
984,4,4,36,54,14,15,25,0
985,2,5,9,41,11,15,15,3
986,2,2,7,25,11,8,6,0
987,4,4,6,33,10,10,13,0
988,5,7,32,50,17,14,19,2
1001,4,5,32,47,13,17,17,1
1002,3,4,51,64,25,19,20,1
1003,1,4,26,60,21,19,20,3
1004,1,1,61,73,24,24,25,0
1005,4,4,25,50,13,16,21,0
1006,6,8,50,65,22,20,23,2
1007,5,5,3,7,1,3,3,0
1008,4,5,65,71,23,25,23,1
1009,6,6,8,30,9,8,13,0
1010,4,5,49,65,19,23,23,1
1011,4,4,3,34,11,14,9,0
1012,4,5,21,59,20,19,20,1
1013,5,7,37,62,20,23,19,2
1014,1,5,16,38,11,11,16,4
1015,1,1,23,56,19,18,19,0
1016,8,9,0,24,8,7,9,1
1017,7,13,15,45,14,18,13,6
1018,3,4,24,46,18,11,17,1
1019,1,2,15,33,9,12,12,1
1020,5,8,19,56,17,19,20,3
1021,18,19,10,42,16,11,15,1
1022,7,9,45,63,17,25,21,2
1023,8,9,24,47,18,15,14,1
1024,2,3,28,56,19,15,22,1
1025,2,5,31,54,16,20,18,3
1026,2,2,51,67,22,22,23,0
1027,2,2,17,40,13,13,14,0
1028,4,7,29,47,9,20,18,3
1033,6,7,44,68,21,24,23,1
1034,5,5,37,49,14,12,23,0
1035,2,3,41,58,20,20,18,1
1036,1,2,55,68,23,24,21,1
1037,5,6,24,42,9,17,16,1
1038,4,9,19,50,13,18,19,5
1039,6,7,37,61,21,21,19,1
1042,5,6,53,65,25,19,21,1
1043,2,2,8,46,12,18,16,0
1044,2,4,18,39,14,16,9,2
1045,6,6,7,28,8,8,12,0
1046,8,9,50,61,18,19,24,1
1047,2,3,50,66,23,20,23,1
1048,3,4,28,49,16,15,18,1
1049,3,6,23,58,22,17,19,3
1050,4,6,50,62,18,21,23,2
1051,5,5,0,24,5,6,13,0
1052,3,6,33,58,18,19,21,3
1053,4,7,44,67,19,24,24,3
1054,2,3,44,63,21,19,23,1
1055,1,2,22,44,11,15,18,1
1056,3,5,27,44,12,17,15,2
1057,1,1,7,33,12,14,7,0
1058,4,4,10,35,14,9,12,0
1300,4,13,38,63,23,20,20,9
1301,2,2,46,65,18,22,25,0
1302,9,10,37,57,23,17,17,1
1303,1,1,63,71,23,23,25,0
1304,6,7,44,63,20,23,20,1
1305,4,6,50,60,19,22,19,2
1306,2,2,18,44,11,16,17,0
1307,1,1,37,55,22,22,11,0
1308,2,4,75,75,25,25,25,2
1309,0,0,70,72,22,25,25,0
1310,6,7,37,53,18,17,18,1
1311,3,4,38,49,16,13,20,1
1312,5,8,32,53,13,18,22,3
